user_id,location,Country,State,City
1346260764999475203,"Buies Creek, NC',",USA,,
198831061,"Bulawayo, Zimbabwe',",Zimbabwe,,
902967413322469377,"Bulgaria',",Bulgaria,,
540465387,"Burlington. Ontario.',",Canada,,
1249419530444537856,"Burnaby, BC Canada'}",Canada,,
3364185674,"Butte, America",USA,,
696845336082427904,"CA',",USA,,
231206271,"CA',",USA,,
68820341,"Caddebostan, Istanbul',",Turkey,,
16168622,"Calgary, Alberta',",Canada,,
253180602,"calgary',",Canada,,
526101087,"California Republic',",USA,,
42777973,"California, USA',",USA,,
897895526720446465,"California, USA',",USA,,
21992362,"California, USA',",USA,,
1486931010,"California, USA',",USA,,
4009266073,"California, USA',",USA,,
30662589,"California, USA',",USA,,
1037991553011204096,"California, USA',",USA,,
1358690008517865473,"California, USA',",USA,,
216089656,"California, USA',",USA,,
57181974,"California, USA',",USA,,
779464550,"California, USA'}",USA,,
2305332182,"Cambridge, MN',",USA,,
515865307,"Cambridgeshire',",UK,,
1568244916224159744,"Cần Thơ, Viêtnam',",Vietnam,,
502369381,"CANADA • ao3 linked below ⬇️',",Canada,,
270921976,"CANADA',",Canada,,
764451495555244033,"Canada',",Canada,,
482338494,"Canada',",Canada,,
1160587963,"Canada', 🌎"",",Canada,,
1312726427452747777,Canberra,Australia,,
95306199,"Canowindra Australia',",Australia,,
67626292,"Canton, GA via Tuscaloosa, AL',",USA,,
202988475,CAPE TOWN l Engcobo'},South Africa,,
1436303713497387008,"Cape Town, South Africa',",South Africa,,
1150778271505760256,"Cape Town, South Africa',",South Africa,,
166385684,"Caracas',",Venezuela,,
3078313054,"carchi',",Ecuador,,
766540285220298752,"Cardiff, Wales',",UK,,
1582457482718257153,"Carefree, AZ',",USA,,
1321741511420203008,CARLIFONIA'},USA,,
67343155,"Carmel, CA',",USA,,
"1239616965859323904'}""]","carrd byf • minor',",UK,,
18957880,"Central Florida USA',",USA,,
30312117,Central Illinois'},USA,,
1433156690581626887,Central Kentucky,USA,,
15971503,"central Kentucky',",USA,,
297969419,Central PA,USA,,
1326337184106950656,"Central, PA',",USA,,
87584526,"Centralia, IL',",USA,,
824488792916578304,"Chandler, AZ',",USA,,
315436946,"Chapel Hill, NC',",USA,,
745732018013614080,"Chardon, OH'}",USA,,
191662582,"Charlotte, NC',",USA,,
64769036,"Charlotte, NC',",USA,,
613463487,"Charlottesville, VA',",USA,,
29194471,"Cheshire, UK',",UK,,
208700525,"Cheshire',",UK,,
985335193,"Chester, England',",UK,,
64413577,"Chester, Pa',",USA,,
474973688,"Chester, UK',",UK,,
79053827,"Chicago 60666',",USA,,
1583595330712621057,"Chicago, IL',",USA,,
1961534329,"Chicago, IL',",USA,,
868304817541742592,"Chicago, IL',",USA,,
2808650785,"Chicago, IL',",USA,,
1355617650345451522,"chicago',",USA,,
15355274,"Chicago',",USA,,
151465988,"Chicago',",USA,,
1583288825589256195,"Chicagoland 🇺🇲',",USA,,
48900053,"Chico - Redding CA',",USA,,
702324010118463489,"Cincinnati, OH',",USA,,
1088507121262620674,"Clarksville, TN',",USA,,
496121422,"Cleveland, OH',",USA,,
173123888,"Clinton, IL',",USA,,
1005824782829543424,"Clinton, IL',",USA,,
1354475410386341889,CO'},USA,,
897149454817603586,Coalville,UK,,
21233136,"Colorado Springs, Colo.',",USA,,
1411102225326247936,"Colorado, USA',",USA,,
3059105173,"Colorado, USA',",USA,,
47843168,"Colorado, USA',",USA,,
60049728,"Colorful Colorado',",USA,,
1252926691,"Columbia, Missouri, USA',",USA,,
23117492,"Columbus, USA',",USA,,
1586225935350566917,Commie CA'},USA,,
1029940670855827456,"Connecticut, USA',",USA,,
1408421143011381257,"Connecticut, USA',",USA,,
1446289678471155712,"Cork, Ireland',",Ireland,,
888057374795321346,Cornwall UK,UK,,
1565156919010119683,"Corsicana, TX',",USA,,
269525401,"Costa Rica',",Costa Rica,,
221114461,"Courtice, Ontario, Canada',",Canada,,
1572309293730304000,Coventry'},UK,,
885351485785202688,"Crowley Tx',",USA,,
708857250404765698,"Crystal Lake, IL',",USA,,
773593286917365760,"Cusco, Peru',",Peru,,
731416927,"Cymru - Wales',",UK,,
1483598467670888456,"Dallas, TX',",USA,,
14342200,"Darlington',",USA,,
1131422382047014912,"Daytona Beach, FL'}",USA,,
26514883,"Delaware County PA',",USA,,
834928611744440321,"Delaware, USA',",USA,,
1028444777627484166,"Delaware, USA',",USA,,
841657421919617024,"Delaware, USA',",USA,,
897875708869050368,"Denver, CO',",USA,,
2271066648,"Denver, CO'}",USA,,
"23518071'}""]","Denver, Colorado',",USA,,
2148064812,"Denver, Colorado'}",USA,,
1080202560022171651,"Desterro, SC',",USA,,
1214628008,"Detroit',",USA,,
351555541,Dhaka'},Bangladesh,,
177236485,"Doublebois, Liskeard, England',",UK,,
2993788962,"Dubai, United Arab Emirates',",UAE,,
722741909115035648,Dublin,Ireland,,
409488227,"Dublin City, Ireland',",Ireland,,
1238886328852533249,"Dublin City, Ireland',",Ireland,,
58874851,"dublin',",Ireland,,
132275425,"Dublin',",Ireland,,
1100463874678116352,"Dundee, Scotland',",UK,,
738714132195639296,"Durham, NC',",USA,,
227931282,"Durham, NC',",USA,,
146743963,"Düsseldorf, Deutschland',",Germany,,
940705970451288067,"Ealing, London',",UK,,
"940705970451288067'}""]","Ealing, London',",UK,,
1107086654421061632,"East coast',",USA,,
1498315853481267204,"East Coast',",USA,,
27620289,"East Haddam, CT',",USA,,
1484554556910493696,"East Riding Of Yorkshire',",UK,,
1524485520604213255,"East Yorkshire',",UK,,
1074283326020771840,Eating Haggis,UK,,
1543670516069924871,"Ekpoma, Nigeria',",Nigeria,,
383895257,"El Paso, TX',",USA,,
1543697343580610562,El Salvador'},El Salvador,,
1484089031625482240,"Eldoret, Kenya',",Kenya,,
2367069331,"Eldoret, Kenya',",Kenya,,
1263454389852704768,"Elizabeth City, NC',",USA,,
817013658962325504,"England, UK',",UK,,
1082340050862571522,"England, United Kingdom',",UK,,
2320907478,"England, United Kingdom',",UK,,
2984280598,"England, United Kingdom',",UK,,
3853775741,"England, United Kingdom',",UK,,
2724551533,"England, United Kingdom',",UK,,
1134907050,"England, United Kingdom',",UK,,
1475644289367650304,"England, United Kingdom',",UK,,
744868241793781760,"England, United Kingdom',",UK,,
"317852426'}""]","England',",UK,,
19987249,"England',",UK,,
183551697,Enjeni aka South Africa,South Africa,,
1470868585618759684,Essex,UK,,
796604419,"Essex. U.K',",UK,,
1400601025,"essex',",UK,,
1966184708,"Esterhazy, Saskatchewan',",Canada,,
1583748283683463170,"Etats-Unis',",USA,,
1514751653089624065,Etats-Unis'},USA,,
1135683696370040832,Etats-Unis'},USA,,
799435974921089024,Etats-Unis'},USA,,
200092299,"Fairmont, WV'}",USA,,
3094491626,"Falls Church, VA 22041'}",USA,,
4592569959,"Fascist Florida',",USA,,
286045555,"Federal Capital Territory, Nig',",Nigeria,,
284662974,"Federal Capital Territory, Nig',",Nigeria,,
"1356601718579077123'}""]","Federal Capital Territory, Nig',",Nigeria,,
96117406,"Federal Capital Territory, Nig'}",Nigeria,,
1019287244,"Federal Capital Territory',",Nigeria,,
222289436,Fife / Edinburgh'},UK,,
395581734,"Finger Lakes, NY",USA,,
1564691477862785024,"Fishers, IN',",USA,,
1490848657,"FL(561✈️ MN(612✈️ SD(605',",USA,,
1219032025769881605,"Florida, USA',",USA,,
724018040069705729,"Florida, USA',",USA,,
24190155,"Florida, USA',",USA,,
419983075,"Florida, USA',",USA,,
1013570805840666624,"Florida, USA',",USA,,
