,user_id,location
151,"[""1060573081935249409',""]","New York, NY',"
152,"[""48033200',""]","Kappeln Germany',"
153,"[""1436825916722880516',""]","Oklahoma, USA',"
154,"[""1485235744562163716',""]",
155,"[""1300674916652470273',""]","Brisbane, Queensland',"
156,"[""1463715376517332992',""]","Johannesburg, South Africa',"
157,"[""850087650857844736',""]","Pacific Northwest',"
158,"[""1691974362',""]",
159,"[""84250528',""]","Banana republic',"
160,"[""1587736167348592640',""]",
161,"[""1584187042220515328',""]",
162,"[""2983251103',""]",
163,"[""1530165883708088322',""]",
164,"[""844878248123117568',""]",Abu Dhabi & Peshawar
165,"[""797171522402140161',""]","Kirkville,  N.Y.',"
166,"[""1547209858684002305',""]",
167,"[""194968905',""]","Oxford',"
168,"[""2782674324',""]",
169,"[""1594501328037826562',""]",
170,"[""1595804298532818946',""]",
171,"[""3392221066',""]","York, North Yorkshire, England',"
172,"[""1100463874678116352',""]","Dundee, Scotland',"
173,"[""1574061542148132872',""]","Oklahoma',"
174,"[""1531666806561202176',""]",
175,"[""1490809826460553220',""]","Dark Side Of The Moon',"
176,"[""796604419',""]","Essex. U.K',"
177,"[""2611560922',""]",
178,"[""1413221208603168773',""]","Land of Mary',"
179,"[""707117475528179713',""]","宮城 仙台市 若林区',"
180,"[""415490452',""]",
181,"[""1673844451',""]","Somerset, England',"
182,"[""1511855300009246721',""]",
183,"[""838675091760287744',""]","Nigeria',"
184,"[""60118290',""]",
185,"[""268739173',""]","Lubbeek',"
186,"[""1485708329133522958',""]","In my space',"
187,"[""789474929368506368',""]",
188,"[""4886069714',""]",
189,"[""82684359',""]","New Delhi',"
190,"[""1494650276250275841',""]",
191,"[""1469930853388242945',""]",
192,"[""1565337121086636036',""]",
193,"[""2632441534',""]","Pennsylvania, USA',"
194,"[""1528666404748247042',""]",
195,"[""609289528',""]","Kelowna, British Columbia',"
196,"[""1078586624785768448',""]",
197,"[""1593697686967951365',""]",
198,"[""55222766',""]","Kansas City,  Missouri, USA',"
199,"[""1284892206323695616',""]",
200,"[""1596962089955954691',""]",
201,"[""1481835286799826946',""]",
202,"[""1563978737988911110',""]",
203,"[""1499349911715913728',""]",
204,"[""1428422346734510088',""]",
205,"[""1446289678471155712',""]","Cork, Ireland',"
206,"[""997674082081570818',""]","Jersey',"
207,"[""1575203360113934361',""]","🚩🚩',"
208,"[""162866127',""]","Barnsley, England',"
209,"[""1596962081554796545',""]",
210,"[""1329108584286851072',""]",
211,"[""1200942270704427011',""]","Karachi, Pakistan',"
212,"[""22260509',""]",
213,"[""1416328357',""]","Nagoya City',"
214,"[""1000374941823438848',""]",
215,"[""1244259953336033280',""]","Pilsen, République Tchèque',"
216,"[""1267461047293751303',""]","Port St Lucie, FL/ Manhattan',"
217,"[""1587749004527677440',""]",
218,"[""1263454389852704768',""]","Elizabeth City, NC',"
219,"[""1445968830761783299',""]","GlobeTrotter',"
220,"[""396773698',""]","Berlin, Allemagne',"
221,"[""1587017686651129857',""]",
222,"[""1501279581311021057',""]",
223,"[""1555807784519626752',""]",
224,"[""2985030608',""]","Seattle, WA',"
225,"[""16372127',""]",
226,"[""336651276',""]","Athens, GA',"
227,"[""1252679420',""]",Europe
228,"[""234750797',""]","Roermond',"
229,"[""1481776266751758336',""]","Lagos, Nigeria',"
230,"[""1544924753563381761',""]",
231,"[""1355617650345451522',""]","chicago',"
232,"[""1306214251263127552',""]","Pink City Jaipur',"
233,"[""1059898531777937410',""]",
234,"[""1309606686416687104',""]","EDPDD',"
235,"[""2832311922',""]","Toronto, Ontario, Canada"
236,"[""1176006556346925056',""]","New orleans 🎭',"
237,"[""1561288285460123648',""]","united state and global',"
238,"[""1360798378670649348',""]",
239,"[""1596962051108347908',""]","Antarctica',"
240,"[""2447664324',""]","United Kingdom',"
241,"[""268495355',""]",
242,"[""1479207515023941640',""]","World',"
243,"[""1234395385134747648',""]",
244,"[""1166433188786425856',""]",
245,"[""2502519117',""]","Istanbul, Türkiye',"
246,"[""2334938029',""]",
247,"[""237148567',""]",
248,"[""343408133',""]",
249,"[""12848262',""]","1 Yonge St., Toronto, Canada',"
250,"[""1536583730537451521',""]",she / her \nbns. rcbyt
251,"[""18367959',""]","NY',"
252,"[""963289830',""]","San Jose, CA',"
253,"[""824373690158772224',""]","BOS via SFO from SYR',"
254,"[""796189447201157120',""]",
255,"[""1966184708',""]","Esterhazy, Saskatchewan',"
256,"[""260930773',""]","Australia',"
257,"[""1527119882302935040',""]",
258,"[""260571026',""]","Philadelphia, PA',"
259,"[""429626065',""]",
260,"[""1490848657',""]","FL(561✈️ MN(612✈️ SD(605',"
261,"[""4848961849',""]",
262,"[""754409255374127104',""]","Jimeta Nigeria',"
263,"[""2374475260',""]",
264,"[""1485790057420271617',""]","florida',"
265,"[""947605809596334080',""]",
266,"[""18734321',""]","Nashville, TN',"
267,"[""897895526720446465',""]","California, USA',"
268,"[""635271421',""]","Rutland UK',"
269,"[""1397605417824309249',""]","Sambhal, India',"
270,"[""133321508',""]",
271,"[""1107086654421061632',""]","East coast',"
272,"[""939901806074912770',""]",📍Islamabad /Chilas /Gilgit
273,"[""1587627804086059009',""]",
274,"[""1587843049924739076',""]",
275,"[""1390052362904117252',""]",
276,"[""1254252920364773376',""]","New Jersey, USA',"
277,"[""724018040069705729',""]","Florida, USA',"
278,"[""902262339226959873',""]",
279,"[""1584210246591021057',""]",
280,"[""1258128223545638912',""]","Hiding Under Frank Ocean’s Bed',"
281,"[""1569040524249812992',""]","Siris',"
282,"[""767389210210738177',""]",
283,"[""1505552418653630464'}""]",
284,"[""87259041'}""]","Bristol, UK',"
285,"[""1310985385875566597'}""]","Québec City',"
286,"[""1223970361647169536'}""]",
287,"[""3339909250'}""]","Liverpool, England',"
288,"[""1297126263325437952'}""]","🌎 earth...heading home',"
289,"[""2984410546'}""]",West baltimore
290,"[""2777172341'}""]","Nasarawa, Nigeria',"
291,"[""1542160402666164226'}""]","SoHo, Manhattan',"
292,"[""80501732'}""]",
293,"[""1118323077987864576'}""]","they / it / he',"
294,"[""750380394256539649'}""]","Los Angeles, CA',"
295,"[""84956872'}""]","The Nation-State of California',"
296,"[""1271614578950942720'}""]","無断転載、自作発言禁止',"
297,"[""3123861166'}""]",
298,"[""1428496509029470208'}""]",
299,"[""773310890544394240'}""]",
300,"[""437979939'}""]","elsewhere',"
301,"[""797932723344211968'}""]",
302,"[""1239616965859323904'}""]","carrd byf • minor',"
303,"[""1594240969343483904'}""]",
304,"[""832208553750392832'}""]",
305,"[""478071277'}""]","Everywhere',"
306,"[""745681800400297987'}""]","Walnut Creek, CA',"
307,"[""1587332556252483587'}""]",
308,"[""1552319390900752386'}""]",
309,"[""1567953780225851397'}""]",
310,"[""1518462762678206467'}""]",
311,"[""4668238213'}""]",Visakhapatnam
312,"[""176317802'}""]",
313,"[""3776313374'}""]",
314,"[""1395203449927741441'}""]",
315,"[""1321955844288925696'}""]",
316,"[""1087563633284894720'}""]","London, England',"
317,"[""1576946448008200193'}""]",
318,"[""1313331639821504512'}""]","Stayville - Stay st.',"
319,"[""1584139953000300544'}""]",
320,"[""1529504225268473856'}""]",
321,"[""107169642'}""]","Tallahassee, FL',"
322,"[""1377580034253275136'}""]",
323,"[""1315267191114088448'}""]","Indonésie',"
324,"[""1401332380988850178'}""]","public_metrics': {'followers_count': 239,"
325,"[""1591173281331445760'}""]","Lorelia',"
326,"[""884759441853341696'}""]",Hoseok & Yoongi
327,"[""1255227175021809665'}""]",
328,"[""1584150054138515457'}""]",
329,"[""1584199512549007360'}""]",
330,"[""1548058612639023104'}""]","beyazıt',"
331,"[""1483400361318793218'}""]","Jos',"
332,"[""1252904829191675905'}""]","MAKERERE,UGANDA',"
333,"[""120769030'}""]","Miami, FL',"
334,"[""1450163221101416453'}""]","MY SOCIAL MEDIA 👉🏻',"
335,"[""114665434'}""]","Arizona, USA',"
336,"[""1514781225323425793'}""]",
337,"[""185289508'}""]","United States',"
338,"[""721479833079783424'}""]",
339,"[""1482049185692229636'}""]",
340,"[""1544386752'}""]","bay area',"
341,"[""1233929232432205827'}""]","Austin, TX',"
342,"[""1373071526119964680'}""]","they',"
343,"[""1254250976741076998'}""]",
344,"[""1084074629659009025'}""]",
345,"[""1494714352477384704'}""]",
346,"[""1591916691272892425'}""]",
347,"[""317852426'}""]","England',"
348,"[""1584167774099836928'}""]",
349,"[""1009637703225413632'}""]",
350,"[""1587275504109125632'}""]",
351,"[""1443167317341450244'}""]",
352,"[""1558236203740176384'}""]",
353,"[""1967206741'}""]",
354,"[""415801010'}""]","Bournemouth, England',"
355,"[""842725830656757762'}""]",
356,"[""1586376812011163651'}""]",
357,"[""1594178853551083520'}""]","exoplanet',"
358,"[""1594109444874444801'}""]",
359,"[""912664926'}""]",
360,"[""1547178544102621185'}""]",Nigeria
361,"[""1524750786638409731'}""]","Shanghai',"
362,"[""1386011909770596358'}""]",
363,"[""1248403870256115712'}""]",
364,"[""175881540'}""]",
365,"[""1016357270807089152'}""]","Ohio, USA',"
366,"[""1236758151543873539'}""]",
367,"[""1119179123576827904'}""]","India🇮🇳',"
368,"[""1242747673163292674'}""]",
369,"[""1045508752747769857'}""]",
370,"[""1127808024234512385'}""]",
371,"[""1372043801775255552'}""]",
372,"[""1082967458'}""]",
373,"[""1088096065558102017'}""]",
374,"[""1384106506740637697'}""]","Stayville',"
375,"[""23518071'}""]","Denver, Colorado',"
376,"[""43750097'}""]","Planet Earth',"
377,"[""386688159'}""]","United States',"
378,"[""870935523602386945'}""]",
379,"[""1577430321057890306'}""]",
380,"[""296367776',""]","Madison, Wi',"
381,"[""2984134097',""]","In motion',"
