author_id,edit_history_tweet_ids,lang,created_at,text,id,geo
450409352,['1594902686628921344'],en,2022-11-22T03:56:47.000Z,"Shit show continues with the Eastern Line terminating at Otahuhu in the off peak instead of holding its normal frequencies

Also no mention from Mark Lambert of bus lanes on the Great South Road, Mt Wellingtion Highway, and Ellersile Panmure Highway https://t.co/67QFbsomyY",1594902686628921344,
450409352,['1594902301692469248'],en,2022-11-22T03:55:15.000Z,Lambert wouldn't know what Bus Lanes were if it smacked him in the face https://t.co/9Ijl1JYV6v,1594902301692469248,
450409352,['1594901846908317696'],en,2022-11-22T03:53:26.000Z,The Deputy Mayor is free to publicly slap the Mayor anytime she chooses https://t.co/tk5u2bdn3v,1594901846908317696,
450409352,['1594896143510491136'],und,2022-11-22T03:30:47.000Z,@AklBikes @johnage @AklTransport 😮,1594896143510491136,
450409352,['1594895590730526720'],en,2022-11-22T03:28:35.000Z,"@AklBikes @johnage @AklTransport Bus lanes?
Lambert wouldnt know what they were",1594895590730526720,
450409352,['1594894536530006016'],en,2022-11-22T03:24:23.000Z,RT @kristingillies1: “The old and rich are opting to block the young from voting to reverse the wealth transfer”.   Nice summary from @bern…,1594894536530006016,
450409352,['1594894031766491138'],en,2022-11-22T03:22:23.000Z,@philipsophy Until a tonne of bricks come crushing down on you,1594894031766491138,
450409352,['1594893594598420480'],en,2022-11-22T03:20:39.000Z,@JamesW228 Desley Simpson,1594893594598420480,
450409352,['1594893494308306944'],en,2022-11-22T03:20:15.000Z,@philipsophy Until he hits the wrong Director or Chair,1594893494308306944,
450409352,['1594893443620216834'],en,2022-11-22T03:20:03.000Z,"@NapierinFrame @publicaddress @newimprovedtom Shush

All going good 2023 I might have a few trips to the Northern Hemisphere 😮",1594893443620216834,
450409352,['1594893004342382593'],en,2022-11-22T03:18:18.000Z,"@philipsophy Works in reverse as well
Called getting your arse sued off in the High Court for mouthing off

As K2SO said
And there will be a fresh one if you mouth off again",1594893004342382593,
450409352,['1594892792865488896'],en,2022-11-22T03:17:28.000Z,Brown and Hooten are to Auckland what Ceresi Lanister was to Kings Landing and the 7 Kingdoms in Game of Thrones https://t.co/TKxAIdijEc,1594892792865488896,
450409352,['1594892742823272448'],en,2022-11-22T03:17:16.000Z,@NapierinFrame @publicaddress @newimprovedtom Brown and Hooten are to Auckland what Ceresi Lanister was to Kings Landing and the 7 Kingdoms in Game of Thrones,1594892742823272448,
450409352,['1594892513201909761'],en,2022-11-22T03:16:21.000Z,@jofromgreylynn The IRL version of Cersei Lannister,1594892513201909761,
450409352,['1594891748798394368'],en,2022-11-22T03:13:19.000Z,Brown = Hooten https://t.co/TKxAIdijEc,1594891748798394368,
