edit_history_tweet_ids,author_id,lang,text,id,created_at,withheld
['1595141360306520065'],1540005941420204034,en,RT @AllieTheEditor: @heyshalimar @HaysKali @bestofdyingtwit Except that there are still people wfh due to disabilities,1595141360306520065,2022-11-22T19:45:11.000Z,
['1595138880692314112'],1540005941420204034,en,RT @RobertGarcia: Trans men are men. Trans women are women. Trans rights are human rights.,1595138880692314112,2022-11-22T19:35:20.000Z,
['1595138780318486528'],1540005941420204034,en,RT @PaulRieckhoff: So many people are so surprised that a combat vet was at a LGBTQ club. It shows how little people know about vets and ab…,1595138780318486528,2022-11-22T19:34:56.000Z,
['1595138516941692929'],1540005941420204034,en,RT @mlauriat: Trump voters 'get angry’ when they learn how much he skimmed from other candidates' campaigns: pollster https://t.co/0hAwWmhd…,1595138516941692929,2022-11-22T19:33:53.000Z,
['1595137386748739585'],1540005941420204034,en,"RT @joann_shimonis: @SenJohnKennedy HYPOCRITICAL republicans, We should be rich,the poor should keep feeding our greed . 
Americans had sai…",1595137386748739585,2022-11-22T19:29:23.000Z,
['1595137207743848449'],1540005941420204034,en,RT @Lawrence: So much fun!,1595137207743848449,2022-11-22T19:28:41.000Z,
['1595136747259953152'],1540005941420204034,en,"RT @leighfinke: nothing ever changes in the tragedy-propelling FIFA alliance with oppressive regimes because, once the thing actually start…",1595136747259953152,2022-11-22T19:26:51.000Z,
['1595136651797630976'],1540005941420204034,en,"RT @nprpolitics: ""President Trump was wrong, and his words and actions that day were reckless,"" former Vice President Pence said about Janu…",1595136651797630976,2022-11-22T19:26:28.000Z,
['1595136390534422528'],1540005941420204034,en,"RT @rebeccamakkai: Hi @TuckerCarlson here are some ways to ACTUALLY stop sexualizing children:

1) If you have a TV show, maybe stop talkin…",1595136390534422528,2022-11-22T19:25:26.000Z,
['1595136179443154944'],1540005941420204034,en,RT @TheDailyEdge: Even as @CharlieKirk11 is employing groomers and child porn addicts like #AdamHageman at his scandal-plagued youth indoct…,1595136179443154944,2022-11-22T19:24:36.000Z,
['1595136130210443264'],1540005941420204034,en,"RT @TogetherWeRise: 430,000 children in foster care need your support now. Whether it's sponsoring a trip to Disney, volunteering your time…",1595136130210443264,2022-11-22T19:24:24.000Z,
['1595136022647832576'],1540005941420204034,en,"RT @CivRightsVoices: Dr. Edith P. Mitchell, a retired U.S. Air Force brigadier general, was a young girl when a family decision inspired he…",1595136022647832576,2022-11-22T19:23:58.000Z,
['1595135874718912513'],1540005941420204034,en,"RT @Cannabis_Voter: Over the last decade, 21 states and Washington, D.C. have legalized cannabis for adults. How did it happen, you ask? Be…",1595135874718912513,2022-11-22T19:23:23.000Z,
['1595135610851053569'],1540005941420204034,en,RT @PeterHotez: Dr. Peter Hotez and Dr. Maria Bottazzi: Lecture on New COVID Vaccine | Calendar | Baylor University ⁦@Baylor⁩  https://t.co…,1595135610851053569,2022-11-22T19:22:20.000Z,
['1595135478214569984'],1540005941420204034,en,RT @davramdavram: You’ll be hauling an 81 year old public servant into hearings? This must be part of your plan to ease inflation and gas p…,1595135478214569984,2022-11-22T19:21:48.000Z,
['1595135283044851713'],1540005941420204034,en,"RT @fasc1nate: Lovebirds make their home in a large Arizona cactus.
https://t.co/2B3Yd4IHcE",1595135283044851713,2022-11-22T19:21:02.000Z,
['1595135245908840448'],1540005941420204034,en,@fasc1nate @JamesSa75888275 Saguaro cactus these huge monsters are hundreds of years old!,1595135245908840448,2022-11-22T19:20:53.000Z,
['1595134631543984128'],1540005941420204034,en,RT @PMynmnobody: @_Peace_Love_US Yes. Husband needs to be impeached for not recusing himself from decisions that effected his wife &amp; his na…,1595134631543984128,2022-11-22T19:18:26.000Z,
['1595134356829663233'],1540005941420204034,en,RT @Forbes: Oil prices plummeted to 10-month lows Monday morning after stark warnings from Chinese officials shed light on the nation's inc…,1595134356829663233,2022-11-22T19:17:21.000Z,
['1595134315998109697'],1540005941420204034,en,RT @ukraine_map: @Flash_news_ua The best way to get ready would be by sending more Air Defense,1595134315998109697,2022-11-22T19:17:11.000Z,
['1595134299514101765'],1540005941420204034,en,RT @Flash_news_ua: ⚡️Chancellor Olaf Scholz said that Germany should be ready for an escalation of the situation in Ukraine. It can consist…,1595134299514101765,2022-11-22T19:17:07.000Z,
['1595134238244114432'],1540005941420204034,en,"RT @macergifford: Update from Ukraine! 🇺🇦
We spent a great day in Kherson. It was great to walk the streets and see what we've been fightin…",1595134238244114432,2022-11-22T19:16:53.000Z,"{'copyright': False, 'country_codes': ['TR']}"
['1595134215028617216'],1540005941420204034,en,RT @macergifford: We also covered up any signs of Russian graffiti we came across. Most had already been covered up by the people of Kherso…,1595134215028617216,2022-11-22T19:16:47.000Z,"{'copyright': False, 'country_codes': ['TR']}"
['1595134174230630400'],1540005941420204034,en,"RT @macergifford: May the Ukrainian banner of freedom always fly high and proud over this beautiful land. 
It's an honour for me to walk si…",1595134174230630400,2022-11-22T19:16:37.000Z,"{'copyright': False, 'country_codes': ['TR']}"
['1595134035390763009'],1540005941420204034,en,RT @michigancheri: @_Peace_Love_US You mean this Ginni Thomas. The insurrectionist Ginni Thomas. https://t.co/ZFtctSEAdF,1595134035390763009,2022-11-22T19:16:04.000Z,
['1595133929593659394'],1540005941420204034,en,"RT @BadBradRSR: To every motherfucking right wing lunatic who has attacked military veteran Richard M. Fierro! 

You couldn’t shine this he…",1595133929593659394,2022-11-22T19:15:39.000Z,
['1595133551753953280'],1540005941420204034,en,"RT @shannonrwatts: Rep. Andy Biggs: Oath Keepers 

Rep. Paul Gosar: Proud Boys

Rep. Lauren Boebert: Three Percenters, QAnon

Rep. Marjorie…",1595133551753953280,2022-11-22T19:14:09.000Z,
['1595133191031263235'],1540005941420204034,en,"RT @jonfreadom: Book banning is not just people showing up to school boards anymore. 🧵

In numerous states, new fronts are emerging-- state…",1595133191031263235,2022-11-22T19:12:43.000Z,
['1595132969299378177'],1540005941420204034,en,RT @SecondGentleman: Thank you for welcoming us Thailand. 🇹🇭 https://t.co/02ZCoJ7o6g,1595132969299378177,2022-11-22T19:11:50.000Z,
['1595132926538063872'],1540005941420204034,en,"RT @AustinDavisPA: Pennsylvanians were clear — this will never be a right to work state.

As Lieutenant Governor, I will always stand up an…",1595132926538063872,2022-11-22T19:11:40.000Z,
['1595132649823424512'],1540005941420204034,en,"RT @KennyPerschetz: Take your pick. I won't rest until these are everywhere!
https://t.co/MkWKRcyYWB
Use code PLTCS15 for 15% off everythin…",1595132649823424512,2022-11-22T19:10:34.000Z,
['1595132537533509632'],1540005941420204034,en,RT @Poola56: @RWTrollPatrol @joncoopertweets It's this. https://t.co/xtRrGwMlpr,1595132537533509632,2022-11-22T19:10:07.000Z,
['1595132366959546368'],1540005941420204034,en,"RT @IVoteClimate: @AshleyRParker And yet none of those are on par w/ lying about:
* Inciting an insurrection
* Stealing national security d…",1595132366959546368,2022-11-22T19:09:27.000Z,
['1595132068945543168'],1540005941420204034,en,"RT @nowthisnews: Grant Wahl, a U.S. sports journalist, says he was initially detained and denied entry to the USMNT's World Cup opener agai…",1595132068945543168,2022-11-22T19:08:16.000Z,
['1595131789684920322'],1540005941420204034,en,"RT @soledadobrien: When I tell you that political journalists are failing you, this is a good example.",1595131789684920322,2022-11-22T19:07:09.000Z,
['1595131689441058817'],1540005941420204034,en,"RT @USATODAY: Authorities on Monday confirmed the names of the five people killed at Club Q in Colorado Springs.

""We will seek justice for…",1595131689441058817,2022-11-22T19:06:45.000Z,
['1595131660852686848'],1540005941420204034,und,@USATODAY RIP,1595131660852686848,2022-11-22T19:06:38.000Z,
