text,created_at,author_id,edit_history_tweet_ids,id,lang,withheld
RT @KevMagnet: It rules that Jonah Hill was real life mad during this scene https://t.co/JAwheBEG48,2022-11-22T00:27:54.000Z,1150585235538509824,['1594850119987372035'],1594850119987372035,en,
RT @DiscussingFilm: ‘THE WALKING DEAD’ has officially ended after 11 seasons. https://t.co/AG8A1ltnjZ,2022-11-22T00:26:28.000Z,1150585235538509824,['1594849761181716480'],1594849761181716480,en,
RT @MazvitaJames: See thru the rituals,2022-11-22T00:26:06.000Z,1150585235538509824,['1594849669833641984'],1594849669833641984,en,
RT @iamcardib: Her body is soooo sickening,2022-11-22T00:24:36.000Z,1150585235538509824,['1594849292334030848'],1594849292334030848,en,
RT @TheNikkiRosa: I wonder how life is in these states… https://t.co/sK8WhdIlr0,2022-11-22T00:23:14.000Z,1150585235538509824,['1594848946006163461'],1594848946006163461,en,
RT @Lakay__509: This the only picture she had?,2022-11-22T00:21:40.000Z,1150585235538509824,['1594848551863189504'],1594848551863189504,en,
RT @adoseofmars: Cancers are what y’all think Scorpios are 😭,2022-11-21T22:05:21.000Z,1150585235538509824,['1594814249242542080'],1594814249242542080,en,
"RT @toloutarot: i hope cancer, scorpio, and pisces are ready to make some major increase in finances and opportunities this sagittarius sea…",2022-11-21T22:04:52.000Z,1150585235538509824,['1594814127792623617'],1594814127792623617,en,
RT @Cbledsoe29_: Reminder that this what y’all missed out on by not letting Chris Brown perform😂 https://t.co/GJcKFQxYga,2022-11-21T22:02:35.000Z,1150585235538509824,['1594813549448028160'],1594813549448028160,en,
RT @hinadirah: i was so invested in this relationship as a kid 😂 https://t.co/hhMF7azt0a,2022-11-21T21:52:42.000Z,1150585235538509824,['1594811063815770112'],1594811063815770112,en,
RT @OddOblivion: The first time I saw this clip I almost threw up from laughing so hard.,2022-11-21T21:52:30.000Z,1150585235538509824,['1594811014515920896'],1594811014515920896,en,
RT @YerdMe_CMB: This is my fave part of the Chris Brown performance. https://t.co/0Ji19N9uqC,2022-11-21T21:51:40.000Z,1150585235538509824,['1594810805664587777'],1594810805664587777,en,
RT @KugisakiAkeno: She mad because no one wants to watch 500 romantic comedies with the same storyline starring her racial ambiguity and a…,2022-11-21T21:51:24.000Z,1150585235538509824,['1594810738715287552'],1594810738715287552,en,
RT @clairezagorski: An example of something that’s *actually* pro-life. https://t.co/UGVAQ8u4wU,2022-11-21T21:51:06.000Z,1150585235538509824,['1594810661594624000'],1594810661594624000,en,
RT @vanjitalks: cardi b is so cute she reminds me of the popular girls in school who were nice to the nerds,2022-11-21T21:50:43.000Z,1150585235538509824,['1594810565628637184'],1594810565628637184,en,
The way some Arabs are so racist is disgusting to me. https://t.co/PVAx950r4L,2022-11-21T21:48:27.000Z,1150585235538509824,['1594809993450385408'],1594809993450385408,en,
