created_at,text,edit_history_tweet_ids,author_id,lang,id,withheld
2022-11-22T19:54:05.000Z,"RT @RaheeqAbbasi: اس رپورٹ کے مطابق پاکستان کے زرمبادلہ کے ذخائر افغانستان سے بھی کم ہو چکے ہیں 
شکریہ حاجی صاحب 
آپ کی خدمات کو تاریخ میں…",['1595143601259806720'],1354000680491622400,ur,1595143601259806720,
2022-11-22T19:53:49.000Z,"RT @siasatpk: میری بیوی اور بہو کی جو اثاثے ہیں، اس کے وہ خود جواب دہ ہیں - جنرل باجوہ 
#GenBajwa 
https://t.co/qgRp9nypIK https://t.co/cc7…",['1595143534830833664'],1354000680491622400,ur,1595143534830833664,
2022-11-22T19:53:28.000Z,RT @RealWaqarMaliks: سمری کی خبر 100 فیصد کنفرم کردی گئی ہے https://t.co/vW6e96EJvR,['1595143445467004928'],1354000680491622400,ur,1595143445467004928,
2022-11-22T19:52:00.000Z,"RT @SdqJaan: میں نے بول نیوز کے کرائم رپورٹر احتشام عباسی صاحب کے ذریعے چیک کیا ہے،
وزیراعظم آفس اور ریڈ زون کی طرف قیدیوں والی گاڑیوں کے ج…",['1595143078624792577'],1354000680491622400,ur,1595143078624792577,
2022-11-22T19:51:56.000Z,"RT @Hammad_Azhar: In 2018, PMLN left the economy with the most serious crises in the Current Account led by a large trade imbalance. 
In 20…",['1595143060681535488'],1354000680491622400,en,1595143060681535488,
2022-11-22T19:51:28.000Z,RT @ImranARaja1: “کورونا وائرس کی کینسر سے بالمشافہ ملاقات” https://t.co/QKHQqHEEvU,['1595142944016957440'],1354000680491622400,ur,1595142944016957440,
2022-11-22T19:51:19.000Z,RT @FawadPTIUpdates: ہمیں کسی کے بھی آرمی چیف لگنے پر کوئی تحفظات نہیں، لگنے والے نے پاکستان کا آرمی چیف ہونا جس کو ہم نے ہمیشہ غیر متنازع…,['1595142905324507136'],1354000680491622400,ur,1595142905324507136,
2022-11-22T19:50:37.000Z,RT @RealWaqarMaliks: نواز شریف چاہتے ہیں ملک میں مارشل لاء لگ جائے لیکن کس صورت الیکشن نہ ہوں اپنے چھوٹے چیری بلاسم کو ڈٹ جانے لڑجانے کا کہ…,['1595142730367193090'],1354000680491622400,ur,1595142730367193090,
2022-11-22T19:50:29.000Z,"RT @AbrarUlHaqPK: فواد چوہدری صاحب ، اسرار الحق، ابرار الحق سے خصوصی ملاقات۔
@fawadchaudhry 
@Israr_ul_haq_ https://t.co/PR3Nma7y5l",['1595142693860278273'],1354000680491622400,ur,1595142693860278273,
2022-11-22T19:50:09.000Z,RT @UdarOfficial: جناب چیری بلاسم صاحب! کرونا تو ٹھیک ہو لینے دیتے۔ بیماری میں ہی زرداری کو گھسیٹنے لگ پڑے #انقلاب_عمران_کے_سنگ https://t.c…,['1595142612477874178'],1354000680491622400,ur,1595142612477874178,
2022-11-22T19:49:19.000Z,@SaleemKhanSafi چل کتی کے بچے حرامی نسل 🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕🐕,['1595142403018878976'],1354000680491622400,ur,1595142403018878976,
2022-11-22T19:48:34.000Z,RT @soldierspeaks: پورے پاکستان کو سمری پر لگا کر اصل مسئلے سے توجہ ہٹائ جا رہی ہے کہ پاکستان کا دیوالیہ نکلنے والا ہے۔ https://t.co/F77aV6…,['1595142211213328385'],1354000680491622400,ur,1595142211213328385,
2022-11-22T19:48:04.000Z,RT @ImranRiazKhan: کل بھی آئین ہی مقدم تھا آج بھی آئین ہی مقدم ہونا چاہیئے۔ مگر بھکاری دانشوروں کو سمجھ نہیں آئے گی۔,['1595142087506546688'],1354000680491622400,ur,1595142087506546688,
2022-11-22T19:47:59.000Z,@KhawajaMAsif اوۓ بے شرم کتے جھوٹے🤣🤣🤣🤣🤣🤣🤣🤣 ISPR نے تم کو اور مریم اورنگزیب کو جھوٹا ثابت کر دیۓ🤣🤣🤣🤣🤣🤣 فٹے منہ تیرا,['1595142065478074368'],1354000680491622400,ur,1595142065478074368,
2022-11-22T19:46:09.000Z,@RealWaqarMaliks مریم اورنگزیب نے بھی یہی ٹویٹ کیا 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,['1595141603529994240'],1354000680491622400,ur,1595141603529994240,
2022-11-22T19:45:29.000Z,RT @RealWaqarMaliks: رنگباز میں اگر تھوڑی سی بھی شرم و حیاء ہوئی تو صبح کا سورج چڑھنے سے پہلے مستعفی ہوجائے گا!!! https://t.co/ovGVD4OPs5,['1595141438941335552'],1354000680491622400,ur,1595141438941335552,
2022-11-22T19:45:20.000Z,RT @ImranRiazFan: وزیر داخلہ نے اسلام آباد کی تیاری کی ہوئی تھی پیپر میں پنڈی آگیا اور عمران خان تیاری کے بغیر ہی پاس ہوگیا۔,['1595141399279988736'],1354000680491622400,ur,1595141399279988736,
2022-11-22T19:45:05.000Z,RT @ImranRiazKhan: یاد رکھنا ہم اللہ کی مدد سے  اپنے اس شہید کو تمھارے لیے ڈراؤنا خواب بنا دیں گے۔ تمھیں صرف مارنا آتا ہے اور ہمیں مرنے کے…,['1595141338210897920'],1354000680491622400,ur,1595141338210897920,
2022-11-22T19:45:00.000Z,"RT @MaleehaHashmey: کمال ہے حکومت کہہ رہی ہے کہ آرمی چیف کی تقرری کے حوالے سے کوئی سمری موصول نہیں ہوئی۔

جبکہ DG ISPR نے کنفرم کر دیا ہے ک…",['1595141313208647680'],1354000680491622400,ur,1595141313208647680,
2022-11-22T19:44:29.000Z,@ImranRiazKhan beggers can not be choosers🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,['1595141183998947328'],1354000680491622400,en,1595141183998947328,
2022-11-22T19:42:48.000Z,RT @MaleehaHashmey: خبر کنفرم ہو گئی۔ سمری چلی گئی۔ اب دیکھتے ہیں پاکستان کی تقدیر کا کیا فیصلہ ہوتا ہے۔,['1595140759820566529'],1354000680491622400,ur,1595140759820566529,
2022-11-22T19:42:40.000Z,RT @ImranRiazKhan: شہباز شریف کو یہ فیصلہ آئین و قانون کے مطابق دونوں طرف کے دباؤ کو پس پشت ڈال کر ملکی مفاد میں کر گزرنا چاہیئے۔ میاں صاحب…,['1595140727549616128'],1354000680491622400,ur,1595140727549616128,
2022-11-22T19:42:25.000Z,RT @soldierspeaks: جو بول رہے ہیں کہ سمری آگئی ہے، انہیں ڈرٹی ہیری کیجانب سے ایسا بولنے کا کہا جا رہا ہے۔,['1595140666408857600'],1354000680491622400,ur,1595140666408857600,
2022-11-22T19:42:15.000Z,RT @ImranKhanPTI: قطر میں منعقد کئے جانے والے فٹ بال ورلڈ کپ میں آرجنٹائن کیخلاف شاندار جیت پر ٹیم سعودی عرب کو مبارکباد پیش کرتا ہوں!,['1595140621916057600'],1354000680491622400,ur,1595140621916057600,
2022-11-22T19:42:05.000Z,RT @ImranRiazKhan: ریٹائر ہونے دیجیئے,['1595140580858023936'],1354000680491622400,ur,1595140580858023936,
2022-11-22T19:41:49.000Z,RT @AmbreenPTI1: کل میں نے یہ ٹویٹ کی تھی اور آج عمران ریاض خان اور اشوک سواین نے بھی بالکل یہی بات کہی ہے کہ آرمی چیف خدا نہیں ہوتا وہ ایک…,['1595140512797036544'],1354000680491622400,ur,1595140512797036544,
2022-11-22T19:40:58.000Z,RT @soldierspeaks: او بھائی وہ وزیر دفاع جسکو آئ ایس پی آر نے سمری بھجوائ ہے، وہ تو ماننے سے انکاری ہے۔ پہلے آپس میں فیصلہ کر لو، پھر قوم ک…,['1595140300020023296'],1354000680491622400,ur,1595140300020023296,
2022-11-22T19:40:44.000Z,@MuhammaddNawaz فوج سیاست سے دور ہے دونوں ملکوں کی,['1595140241886957568'],1354000680491622400,ur,1595140241886957568,
2022-11-22T19:39:54.000Z,@soldierspeaks دال میں کچھ کالا کالا ہے,['1595140031429378048'],1354000680491622400,ur,1595140031429378048,
2022-11-22T19:39:30.000Z,RT @soldierspeaks: پہلے فیصلہ کر لیں ماننی کس کی ہے۔ امپورٹڈ حکومت کی یا ڈی جی آئ ایس پی آر کی؟ https://t.co/AqDdRVAHVE,['1595139929981362177'],1354000680491622400,ur,1595139929981362177,
