id,geo,edit_history_tweet_ids,created_at,author_id,lang,text
1594442117882867712,"{'place_id': '127021a2772dbff7', 'coordinates': {'type': 'Point', 'coordinates': [-75.6972849, 45.4756531]}}",['1594442117882867712'],2022-11-20T21:26:38.000Z,140647400,en,"Nervous to apply for a job like ""shift supervisor - Store# 19686, LES PROMENADES DE L'OUTAOUAIS"" at Starbucks? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Retail #Gatineau, QC"
1594425394895069184,"{'place_id': '2e93cd0ac1e01eec', 'coordinates': {'type': 'Point', 'coordinates': [-76.146546, 45.140603]}}",['1594425394895069184'],2022-11-20T20:20:11.000Z,140647400,en,"Interested in a job in Carleton Place, ON, Canada? This could be a great fit: https://t.co/Lqj2rnybOW Careers Coaching"
1594392410984849409,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.1604722, 51.1568075]}}",['1594392410984849409'],2022-11-20T18:09:07.000Z,140647400,en,"See our latest #Calgary, AB #Retail job opportunity and click the link in our bio to apply: barista - Store# 04751, BEACON HILL - SARCEE &amp; 112TH A at Starbucks"
1594146616730001408,"{'place_id': '16653c24ee3abbf7', 'coordinates': {'type': 'Point', 'coordinates': [-77.1482682, 44.0010094]}}",['1594146616730001408'],2022-11-20T01:52:25.000Z,140647400,en,"Looking to score a job at Starbucks? You're in luck. Click the link in our bio for the job description and information on how to apply: barista - Store# 67346, 23 GEORGE WRIGHT #Retail #PrinceEdward, ON"
1594129886389538816,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.6418933, 45.4114055]}}",['1594129886389538816'],2022-11-20T00:45:57.000Z,140647400,en,"If jobs with titles like ""Retail Operations Specialist Full-time HIRING NOW"" sound appealing to you, follow us to hear about these types of opportunities in #Ottawa, ON. #Retail"
1594113156300693505,"{'place_id': '2e93cd0ac1e01eec', 'coordinates': {'type': 'Point', 'coordinates': [-76.146546, 45.140603]}}",['1594113156300693505'],2022-11-19T23:39:28.000Z,140647400,fr,"Vous voulez travailler à #CarletonPlace, ON? Consultez notre dernière offre d'emploi. https://t.co/BYZTDcRZrS #CSLife"
1594096426597826560,"{'place_id': '56316c24480c1a3a', 'coordinates': {'type': 'Point', 'coordinates': [-113.6377129, 53.6729118]}}",['1594096426597826560'],2022-11-19T22:32:59.000Z,140647400,en,"This job might be a great fit for you: Assistant Store Manager, Marshalls/Homesense, St. Albert - https://t.co/SHsbRIz5Ho #Retail #StAlbert, AB"
1594079696890650624,"{'place_id': '684b2b4e552bfa08', 'coordinates': {'type': 'Point', 'coordinates': [-112.8400973, 49.6994274]}}",['1594079696890650624'],2022-11-19T21:26:30.000Z,140647400,en,"We're hiring! Read about our latest job opening here: Store Associate, Part-time, Winners, Park Place Mall - https://t.co/4Dr4UcnXLs #Retail #Lethbridge, AB"
1594062973651210243,"{'place_id': '576bdf29e34c5fce', 'coordinates': {'type': 'Point', 'coordinates': [-118.7674169, 55.1698543]}}",['1594062973651210243'],2022-11-19T20:20:03.000Z,140647400,en,"Starbucks is looking for teammates like you. See our latest #Retail job openings, including ""shift supervisor - Store# 04838, COBBLESTONE - GRANDE PRARIE"", via the link in our bio. #GrandePrairie, AB"
1594046252898975744,"{'place_id': '26b41b13d49ea2bf', 'coordinates': {'type': 'Point', 'coordinates': [-71.975638, 45.3777615]}}",['1594046252898975744'],2022-11-19T19:13:37.000Z,140647400,en,"Career tip for landing jobs like ""shift supervisor - Store# 25359, BOURQUE &amp; MI-VALLON"" in #Sherbrooke, QC. Go on informational interviews. The best way to get a meeting with a hiring manager is to ask for an informational meeting. #Retail"
1593783660704313344,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.3970491, 53.6167911]}}",['1593783660704313344'],2022-11-19T01:50:10.000Z,140647400,en,"Interested in a job in #Edmonton, AB? This could be a great fit: https://t.co/F2kvgd28Ts #Retail"
1593766936604659712,"{'place_id': '43a74fcba28bfed7', 'coordinates': {'type': 'Point', 'coordinates': [-73.6331102, 45.6929818]}}",['1593766936604659712'],2022-11-19T00:43:43.000Z,140647400,en,"Would you like to make a difference in the shopping choices of consumers? If so, our Engagement Specialist team may be the right fit for you. We're looking for a new RETAIL SALES SPECIALIST PART TIME to join our team. Apply today! https://t.co/OOjMifwRrt #Terrebonne, QC"
1593750207258234880,"{'place_id': '79a60b51078a624f', 'coordinates': {'type': 'Point', 'coordinates': [-113.2754989, 53.56673]}}",['1593750207258234880'],2022-11-18T23:37:14.000Z,140647400,en,"See our latest #SherwoodPark, AB #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 18977, EMERALD HILLS - SHERWOOD PARK at Starbucks"
1593733476011810821,"{'place_id': '40065c3c956f7463', 'coordinates': {'type': 'Point', 'coordinates': [-73.2544903, 45.305771]}}",['1593733476011810821'],2022-11-18T22:30:45.000Z,140647400,en,"Can you recommend anyone for this job in Saint-Jean-sur-Richelieu, QC, Canada? https://t.co/eK2p9yyCWt #Merchandising #BrandAmbassador"
1593716746774491136,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.3970491, 53.6167911]}}",['1593716746774491136'],2022-11-18T21:24:16.000Z,140647400,en,"Can you recommend anyone for this job? Part-Time Associate, Marshalls/Homesense Manning - https://t.co/Ol9sAYBXaO #Retail #Edmonton, AB"
1593683288962396160,"{'place_id': '1795f2e3639cab31', 'coordinates': {'type': 'Point', 'coordinates': [-81.3366947, 43.0102904]}}",['1593683288962396160'],2022-11-18T19:11:19.000Z,140647400,en,"Don't be shy. Score a job like ""barista - Store# 04722, FANSHAWE &amp; HYDE PARK"" at Starbucks by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #Retail #London, ON"
1593666567341936641,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.4971784, 45.4569446]}}",['1593666567341936641'],2022-11-18T18:04:53.000Z,140647400,en,"Starbucks is hiring in #Ottawa, ON! Read about our latest #Retail job opening via the link in our bio: barista - Store# 04666, INNES &amp; LANTHIER"
1593420855819632640,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.0375441, 50.8754719]}}",['1593420855819632640'],2022-11-18T01:48:31.000Z,140647400,en,"Looking to score a job at Starbucks? You're in luck. Click the link in our bio for the job description and information on how to apply: barista - Store# 16971, GATES OF WALDEN #Retail #Calgary, AB"
1593404122257977350,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.7313984, 45.345653]}}",['1593404122257977350'],2022-11-18T00:42:01.000Z,140647400,en,"Don't be shy. Score a job like ""Part Time Associate - Marshalls Merivale"" at The TJX Companies by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #Retail #Ottawa, ON"
1593387391976296448,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.0300272, 51.1529283]}}",['1593387391976296448'],2022-11-17T23:35:32.000Z,140647400,en,"This job is now open at Starbucks in #Calgary, AB. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: barista - Store# 26267, THE DISTRICT #Retail"
