id,created_at,text,geo,lang,author_id,edit_history_tweet_ids
1595184277104336896,2022-11-22T22:35:43.000Z,"Accident in #NOKC on Broadway Extension NB before Hefner Rd, stop and go traffic back to Wilshire Blvd #OKCtraffic https://t.co/5PW2Tg7Vzy","{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.51379, 35.57554]}}",en,249851984,['1595184277104336896']
1595184275598589958,2022-11-22T22:35:43.000Z,Accident in #CanadianCounty on Morgan Rd at SW 15th St #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.68922, 35.44961]}}",en,249851984,['1595184275598589958']
1595180522317434884,2022-11-22T22:20:48.000Z,Accident. On-ramp blocked in #NOKC on Broadway Extension NB at 122nd St #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.51021, 35.59078]}}",en,249851984,['1595180522317434884']
1595180520043909121,2022-11-22T22:20:47.000Z,Accident in #SWOKC on Miller Ave north of Southwest 29th Street #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.56126, 35.43512]}}",en,249851984,['1595180520043909121']
1595180517955182592,2022-11-22T22:20:47.000Z,Accident cleared in #SWOKC on I-240 Service Rd EB at C.A. Henderson Blvd #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53332, 35.39083]}}",en,249851984,['1595180517955182592']
1595180516000485376,2022-11-22T22:20:46.000Z,Accident cleared in #SEOKC on SE 44th St at S Sooner Rd #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42411, 35.42075]}}",en,249851984,['1595180516000485376']
1595180513886883840,2022-11-22T22:20:46.000Z,Accident cleared in #NWOKC on Melrose Lane at North Macarthur Boulevard #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.61896, 35.47152]}}",en,249851984,['1595180513886883840']
1595180511638556675,2022-11-22T22:20:45.000Z,Accident in #NWOKC-QuailSpgs on Memorial Rd EB at May Ave #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.56725, 35.60861]}}",en,249851984,['1595180511638556675']
1595180509704859648,2022-11-22T22:20:45.000Z,Accident in #NWOKC on Memorial Rd EB at N Western Av #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53171, 35.60627]}}",en,249851984,['1595180509704859648']
1595180507423186945,2022-11-22T22:20:44.000Z,Accident in #SWOKC on SW 29th St at South Blackwelder Avenue #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53909, 35.43526]}}",en,249851984,['1595180507423186945']
1595180505464348672,2022-11-22T22:20:44.000Z,Accident in #DowntownOkc on Robert S. Kerr at Robinson Ave #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.5164, 35.4698]}}",en,249851984,['1595180505464348672']
1595180503300177920,2022-11-22T22:20:43.000Z,Accident in #NEOKC on N 23rd St WB at North Walnut Avenue #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.50877, 35.49311]}}",en,249851984,['1595180503300177920']
1595180501509492742,2022-11-22T22:20:43.000Z,Accident cleared in #SEOKC on Sooner Rd near Southeast 48th Street #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42351, 35.41593]}}",en,249851984,['1595180501509492742']
1595176729215225857,2022-11-22T22:05:43.000Z,Accident. On-ramp blocked in #NOKC on Broadway Extension NB at 122nd St #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.51021, 35.59078]}}",en,249851984,['1595176729215225857']
1595176727457812483,2022-11-22T22:05:43.000Z,"Accident cleared in #NEOKC on I-35 NB at Wilshire Blvd/Exit 134, slow traffic back to I-44/Exit 133 #OKCtraffic https://t.co/5PW2Tg7Vzy","{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.45706, 35.54746]}}",en,249851984,['1595176727457812483']
1595175487332003840,2022-11-22T22:00:47.000Z,Accident in #NWOKC-QuailSpgs on Memorial Rd EB at May Ave #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.56725, 35.60861]}}",en,249851984,['1595175487332003840']
1595175482919686170,2022-11-22T22:00:46.000Z,Accident in #SWOKC on I-240 Service Rd EB at C.A. Henderson Blvd #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53332, 35.39083]}}",en,249851984,['1595175482919686170']
1595175480960815104,2022-11-22T22:00:46.000Z,Accident in #SWOKC on SW 29th St at South Blackwelder Avenue #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53909, 35.43526]}}",en,249851984,['1595175480960815104']
1595175478838513665,2022-11-22T22:00:45.000Z,Accident in #SEOKC on SE 44th St at S Sooner Rd #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.42411, 35.42075]}}",en,249851984,['1595175478838513665']
1595175474665123840,2022-11-22T22:00:44.000Z,Accident in #NWOKC on Melrose Lane at North Macarthur Boulevard #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.61896, 35.47152]}}",en,249851984,['1595175474665123840']
1595172955192848384,2022-11-22T21:50:44.000Z,"Injury accident in #NEOKC on I-35 NB at Wilshire Blvd/Exit 134, stopped traffic back to I-44/Exit 133 #OKCtraffic https://t.co/5PW2TfQkaY","{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.45706, 35.54746]}}",en,249851984,['1595172955192848384']
