id,edit_history_tweet_ids,created_at,author_id,lang,text
1594527867710357505,['1594527867710357505'],2022-11-21T03:07:23.000Z,1563284492571529217,en,Football bomber lost that close oh no . Toronto won oh good I not support Toronto football .I support bomber football yes .
1594444425043795970,['1594444425043795970'],2022-11-20T21:35:48.000Z,1563284492571529217,en,RT @syntia54600977: @BigDannySmooth @PierrePoilievre Right on I agree your right on high five .
1594444364004065283,['1594444364004065283'],2022-11-20T21:35:34.000Z,1563284492571529217,en,@BigDannySmooth @PierrePoilievre Right on I agree your right on high five .
1594444240964419584,['1594444240964419584'],2022-11-20T21:35:05.000Z,1563284492571529217,en,RT @BigDannySmooth: @PierrePoilievre Go fuck yourself.
1594440176709033985,['1594440176709033985'],2022-11-20T21:18:56.000Z,1563284492571529217,zxx,RT @CFL: https://t.co/d6dew0fjB0
1594436557997416448,['1594436557997416448'],2022-11-20T21:04:33.000Z,1563284492571529217,en,RT @maroblessin: @syntia54600977 It is normal to ignore messages cause it’s the best thing to do this days
1594330175692488705,['1594330175692488705'],2022-11-20T14:01:49.000Z,1563284492571529217,en,RT @syntia54600977: Go bomber go https://t.co/Di6BsGUkzm
1594330144960823301,['1594330144960823301'],2022-11-20T14:01:42.000Z,1563284492571529217,en,Go bomber go https://t.co/Di6BsGUkzm
1594329737924689920,['1594329737924689920'],2022-11-20T14:00:05.000Z,1563284492571529217,en,RT @syntia54600977: Good morning
1594329714776313856,['1594329714776313856'],2022-11-20T13:59:59.000Z,1563284492571529217,en,Good morning
1594321130294231041,['1594321130294231041'],2022-11-20T13:25:53.000Z,1563284492571529217,en,"RT @penguins: It's a great day for hockey (and for a MAJOR Geno milestone).

Here's everything you need to know: https://t.co/wQOOLbZTWg ht…"
1594316524239876096,['1594316524239876096'],2022-11-20T13:07:35.000Z,1563284492571529217,en,RT @syntia54600977: @bobzillagwn Aww beautiful Christmas trees
1594316368312242177,['1594316368312242177'],2022-11-20T13:06:57.000Z,1563284492571529217,en,@bobzillagwn Aww beautiful Christmas trees
1594316277111103488,['1594316277111103488'],2022-11-20T13:06:36.000Z,1563284492571529217,en,"RT @bobzillagwn: Good morning 

everyone 

I put the

 Christmas tree 

up 🌲#CharlieBrown https://t.co/PWUSQ0i8Xs"
1594124357017763840,['1594124357017763840'],2022-11-20T00:23:58.000Z,1563284492571529217,en,RT @syntia54600977: I single for 7 years I not no wpg man not choose me today true story of course
1594124309596966914,['1594124309596966914'],2022-11-20T00:23:47.000Z,1563284492571529217,en,I single for 7 years I not no wpg man not choose me today true story of course
1594123528382578690,['1594123528382578690'],2022-11-20T00:20:41.000Z,1563284492571529217,en,RT @syntia54600977: @penguins Yes so cute yes I ready go Pitt penguins go  go jets go
1594123392956997634,['1594123392956997634'],2022-11-20T00:20:08.000Z,1563284492571529217,en,@penguins Yes so cute yes I ready go Pitt penguins go  go jets go
1594123180515500032,['1594123180515500032'],2022-11-20T00:19:18.000Z,1563284492571529217,en,"RT @penguins: IT'S GO TIME IN WINNIPEG!

#LetsGoPens https://t.co/vzpRmPgUJc"
1594099701770776577,['1594099701770776577'],2022-11-19T22:46:00.000Z,1563284492571529217,en,RT @syntia54600977: Leave me alone I ignore message now
1594099636234502149,['1594099636234502149'],2022-11-19T22:45:44.000Z,1563284492571529217,en,Leave me alone I ignore message now
1594087708460306434,['1594087708460306434'],2022-11-19T21:58:21.000Z,1563284492571529217,en,"RT @MasonDrm: Who’s excited for the big event tomorrow?got lots of drinks snacks and food.
The season premier of Curse of Oak Island should…"
1594070882103738368,['1594070882103738368'],2022-11-19T20:51:29.000Z,1563284492571529217,en,RT @syntia54600977: Why earth man hate me why man earth not care love live me
1594070808862674944,['1594070808862674944'],2022-11-19T20:51:11.000Z,1563284492571529217,en,Why earth man hate me why man earth not care love live me
1594064772282056704,['1594064772282056704'],2022-11-19T20:27:12.000Z,1563284492571529217,en,RT @syntia54600977: I not going watch Santa parade today sorry
1594064731093970944,['1594064731093970944'],2022-11-19T20:27:02.000Z,1563284492571529217,en,I not going watch Santa parade today sorry
1594048015030837248,['1594048015030837248'],2022-11-19T19:20:37.000Z,1563284492571529217,en,RT @syntia54600977: @MasonDrm I not going be there tommrow nope
1594047977504612358,['1594047977504612358'],2022-11-19T19:20:28.000Z,1563284492571529217,en,@MasonDrm I not going be there tommrow nope
1594045780201021441,['1594045780201021441'],2022-11-19T19:11:44.000Z,1563284492571529217,und,RT @syntia54600977: @EliLake No
1594045746013241344,['1594045746013241344'],2022-11-19T19:11:36.000Z,1563284492571529217,en,"RT @EliLake: So Twitter employees didn’t want to sign a pledge to, checks notes, work harder. Am I getting that right?"
1594045732973051904,['1594045732973051904'],2022-11-19T19:11:33.000Z,1563284492571529217,und,@EliLake No
1594031024668827648,['1594031024668827648'],2022-11-19T18:13:06.000Z,1563284492571529217,en,"RT @Budweiser: New Day, New Tweet. Winning Country gets the Buds. Who will get them? https://t.co/Vv2YFxIZa1"
1594011969186856962,['1594011969186856962'],2022-11-19T16:57:23.000Z,1563284492571529217,en,RT @BudweiserCanada: Because that’s what Buds do. Let’s go @_a_johnston! 🇨🇦
1593819969514483713,['1593819969514483713'],2022-11-19T04:14:27.000Z,1563284492571529217,en,RT @syntia54600977: Good night 😴
1593819949708894209,['1593819949708894209'],2022-11-19T04:14:22.000Z,1563284492571529217,en,Good night 😴
1593815651180810242,['1593815651180810242'],2022-11-19T03:57:17.000Z,1563284492571529217,en,RT @syntia54600977: @N0ideawhyimhere I don't hate u .I like u as friend
1593815442228973569,['1593815442228973569'],2022-11-19T03:56:27.000Z,1563284492571529217,en,@N0ideawhyimhere I don't hate u .I like u as friend
1593815348410580992,['1593815348410580992'],2022-11-19T03:56:05.000Z,1563284492571529217,en,"RT @N0ideawhyimhere: Hey!

Stop thinking about hating the fucking assholes, lol

C'mon, tell me about your day tomorrow, champ."
1593798239819440129,['1593798239819440129'],2022-11-19T02:48:06.000Z,1563284492571529217,en,RT @syntia54600977: @N0ideawhyimhere I can dance
1593798190276706305,['1593798190276706305'],2022-11-19T02:47:54.000Z,1563284492571529217,en,@N0ideawhyimhere I can dance
1593798146210992128,['1593798146210992128'],2022-11-19T02:47:44.000Z,1563284492571529217,en,"RT @N0ideawhyimhere: Can't help about the shape I'm in
Can't sing, I ain't pretty and my legs are thin
Don't ask me what I think of you
Mig…"
1593795627846193153,['1593795627846193153'],2022-11-19T02:37:43.000Z,1563284492571529217,en,RT @syntia54600977: @p_poutine Oh really .
1593795496405000192,['1593795496405000192'],2022-11-19T02:37:12.000Z,1563284492571529217,en,@p_poutine Oh really .
1593788024399298561,['1593788024399298561'],2022-11-19T02:07:30.000Z,1563284492571529217,en,RT @syntia54600977: @CauseHarm I love follower WPS office Danny smyth chief too ..lol
1593788013477335041,['1593788013477335041'],2022-11-19T02:07:28.000Z,1563284492571529217,en,RT @syntia54600977: @CauseHarm Yes iam disabled myself
1593787981961248768,['1593787981961248768'],2022-11-19T02:07:20.000Z,1563284492571529217,en,@CauseHarm I love follower WPS office Danny smyth chief too ..lol
1593787893125873664,['1593787893125873664'],2022-11-19T02:06:59.000Z,1563284492571529217,en,@CauseHarm Yes iam disabled myself
1593787847676420096,['1593787847676420096'],2022-11-19T02:06:48.000Z,1563284492571529217,en,RT @CauseHarm: Snow moving was a success!  Made the streets a little safer for motorists and pedestrians attempting to get home.  Helping p…
1593787777564434432,['1593787777564434432'],2022-11-19T02:06:31.000Z,1563284492571529217,en,RT @syntia54600977: @N0ideawhyimhere I love dance yeah .
1593787771231117312,['1593787771231117312'],2022-11-19T02:06:30.000Z,1563284492571529217,en,RT @syntia54600977: @N0ideawhyimhere I loneywolf true story
1593787580520308737,['1593787580520308737'],2022-11-19T02:05:44.000Z,1563284492571529217,en,@N0ideawhyimhere I love dance yeah .
1593787489726083072,['1593787489726083072'],2022-11-19T02:05:23.000Z,1563284492571529217,en,@N0ideawhyimhere I loneywolf true story
1593787453315641344,['1593787453315641344'],2022-11-19T02:05:14.000Z,1563284492571529217,en,"RT @N0ideawhyimhere: What's the matter?

You still feeling sorry for yourself, lol"
1593787426270580737,['1593787426270580737'],2022-11-19T02:05:08.000Z,1563284492571529217,en,"RT @N0ideawhyimhere: I wanna wish you well, you beautiful motherfuckers 😎 

C'mon, let's fucking dance! https://t.co/Itfy6d3xhB"
1593773796565172225,['1593773796565172225'],2022-11-19T01:10:58.000Z,1563284492571529217,en,@globalwinnipeg I not see him .
1593773747127087104,['1593773747127087104'],2022-11-19T01:10:46.000Z,1563284492571529217,en,"RT @globalwinnipeg: A convicted sex offender considered high risk to reoffend against children, particularly girls, was released from priso…"
1593760675196981248,['1593760675196981248'],2022-11-19T00:18:50.000Z,1563284492571529217,en,RT @syntia54600977: @p_poutine No I don't no pet cat here
1593760596084002816,['1593760596084002816'],2022-11-19T00:18:31.000Z,1563284492571529217,en,@p_poutine No I don't no pet cat here
