geo,edit_history_tweet_ids,author_id,lang,text,id,created_at
{'place_id': '3a32d101fe825fd9'},['1592878749250637825'],1548793364128178178,en,"You've got to be kidding me.....  oil change?

No wonder most legacy auto manufacturers will be non-existent in 10 years....

Ps. Love my leaf! https://t.co/s9KlF4AGd1",1592878749250637825,2022-11-16T13:54:22.000Z
{'place_id': 'edacd050f402302c'},['1592708443064111104'],1548793364128178178,en,@luckygoooon @Tesla I know!,1592708443064111104,2022-11-16T02:37:38.000Z
{'place_id': 'edacd050f402302c'},['1592707521357434880'],1548793364128178178,en,@luckygoooon @Tesla Yep that's my understanding.  Maybe it will happen sooner but today enrollment takes time.,1592707521357434880,2022-11-16T02:33:58.000Z
{'place_id': 'edacd050f402302c'},['1592706603132026882'],1548793364128178178,en,@luckygoooon @Tesla Just be aware. Fsd beta takes time and driving super careful to get enrolled. Took me 88 days and safety score if 100 (likely could have been lower).  Just wanted to ensure I got added at the next wide release.,1592706603132026882,2022-11-16T02:30:19.000Z
,['1592705637846495232'],1548793364128178178,en,@luckygoooon @Tesla yep - changed my life.  77 miles each day and 98% of driving is now automated.  Love it!,1592705637846495232,2022-11-16T02:26:29.000Z
{'place_id': 'edacd050f402302c'},['1592674060068012033'],1548793364128178178,en,"Just me creeping...

@Tesla 
@luckygoooon https://t.co/x5LJVWSjq6",1592674060068012033,2022-11-16T00:21:01.000Z
{'place_id': '3a32d101fe825fd9'},['1592562161402118144'],1548793364128178178,en,@SantoroSystems @FermisSocks @ropo724 @luckygoooon @trav_is_jackson @MissJilianne @MITeslaGuy @4monstergadgets @j_grieshaber I just schedule the departure it runs for 20-30 appx,1592562161402118144,2022-11-15T16:56:22.000Z
,['1592556835621732353'],1548793364128178178,en,@luckygoooon @Tesla For sure!,1592556835621732353,2022-11-15T16:35:12.000Z
{'place_id': 'edacd050f402302c'},['1592477493864251392'],1548793364128178178,en,@luckygoooon @trav_is_jackson @ropo724 @MissJilianne @MITeslaGuy @4monstergadgets @j_grieshaber Run mine every weekday now that Temps are below 50.  Maybe it does something else to the battery while heating the cabin. All I know is it's nice and warm.  Really no noticeable difference in battery consumption. IMHO https://t.co/XHwzmmHBgD,1592477493864251392,2022-11-15T11:19:55.000Z
{'place_id': 'edacd050f402302c'},['1592473945638572032'],1548793364128178178,en,@luckygoooon @trav_is_jackson @ropo724 @MissJilianne @MITeslaGuy @4monstergadgets @j_grieshaber Yes to climate.  Scheduled departure does the same thing.,1592473945638572032,2022-11-15T11:05:50.000Z
{'place_id': 'edacd050f402302c'},['1592325613519769600'],1548793364128178178,en,"Confession is good, right?  My name is Paul and I have a problem.... @Tesla.  

https://t.co/1bZhb8EW4Q

@luckygoooon",1592325613519769600,2022-11-15T01:16:24.000Z
{'place_id': 'edacd050f402302c'},['1592324206695702528'],1548793364128178178,en,@teslabros Weekly,1592324206695702528,2022-11-15T01:10:49.000Z
{'place_id': 'edacd050f402302c'},['1592324167839649793'],1548793364128178178,en,"@teslabros Yes, super easy to keep clean. 20k miles and still look like new.",1592324167839649793,2022-11-15T01:10:40.000Z
{'place_id': 'edacd050f402302c'},['1592324003871723520'],1548793364128178178,en,"@teslabros Nope, but I keep my seats clean.  Hoping to avoid this sort of mess.",1592324003871723520,2022-11-15T01:10:01.000Z
{'place_id': '3a32d101fe825fd9'},['1592230397257347072'],1548793364128178178,en,@teslabros Red for the holidays https://t.co/LOqs4MALKr,1592230397257347072,2022-11-14T18:58:03.000Z
{'place_id': 'edacd050f402302c'},['1590990183956373506'],1548793364128178178,en,@slye Great video Andy. Keep it up!,1590990183956373506,2022-11-11T08:49:53.000Z
,['1590908085748781056'],1548793364128178178,en,"@teslabros feel like the charge port should be the ""blue checkmark"".....",1590908085748781056,2022-11-11T03:23:39.000Z
,['1590321546677334018'],1548793364128178178,en,@TeslaChillMode wish they had kept this tint on later models.  Looks so nice and upscale.,1590321546677334018,2022-11-09T12:32:58.000Z
{'place_id': 'edacd050f402302c'},['1590147137899499521'],1548793364128178178,en,@teslabros Time to get ripped!,1590147137899499521,2022-11-09T00:59:55.000Z
,['1590137106080628736'],1548793364128178178,en,@teslabros like it,1590137106080628736,2022-11-09T00:20:04.000Z
,['1589805012804595712'],1548793364128178178,zxx,RT @elonmusk: https://t.co/3t5ahItE5z,1589805012804595712,2022-11-08T02:20:26.000Z
,['1589659312514744320'],1548793364128178178,en,"RT @Tesla: Meet Megafactory, our new Megapack factory in Lathrop, CA 🔋🔋🔋 https://t.co/aw85eHECXI",1589659312514744320,2022-11-07T16:41:29.000Z
{'place_id': 'edacd050f402302c'},['1589318584110829568'],1548793364128178178,en,@SouthwestAir Dr. Pepper hands down,1589318584110829568,2022-11-06T18:07:33.000Z
{'place_id': 'edacd050f402302c'},['1589318325867515910'],1548793364128178178,en,@SawyerMerritt Glad you pointed this out. Will re-sign up via web vs. Google app store. 🤔,1589318325867515910,2022-11-06T18:06:31.000Z
{'place_id': 'edacd050f402302c'},['1589080874330750978'],1548793364128178178,en,@itskyleconner @live_munro @GMC Do it!  Would be epic for sure!,1589080874330750978,2022-11-06T02:22:58.000Z
,['1589067190229422081'],1548793364128178178,nl,@brandenflasch @Rivian zoom - zoom!,1589067190229422081,2022-11-06T01:28:36.000Z
,['1589005574183981057'],1548793364128178178,en,"@slye sweet!  Just picked up a G-Box with 5,000 retro games.  Its the kids holiday gift.  This way I can re-live and only have 1 console vs. a mess of wires.   (NES, SNES, Sega Genisis, Sega Dream Cast, Atari, etc...)",1589005574183981057,2022-11-05T21:23:45.000Z
