text,author_id,lang,created_at,id,edit_history_tweet_ids
RT @JennJonesMD: Such an important and truthful tweet from Pete Buttigieg!,1209216199,en,2022-11-22T17:08:57.000Z,1595102045610147842,['1595102045610147842']
RT @AmoneyResists: Who on @HerschelWalker’s team had the idea to start running an anti-LGBT ad that specifically argues against the Equalit…,1209216199,en,2022-11-22T17:08:40.000Z,1595101974667661314,['1595101974667661314']
"RT @rareseeds: The 2023 Whole Seed Catalog. Available for Pre-Order. Over 500 Pages of seeds, recipes, and stories.",1209216199,en,2022-11-22T17:07:47.000Z,1595101751224459264,['1595101751224459264']
RT @ReverendWarnock: Can't wait to go back to Savannah for the Thanksgiving holiday and spend time with family! ❤ https://t.co/bZvwWnwf6J,1209216199,en,2022-11-22T17:07:00.000Z,1595101554222170113,['1595101554222170113']
"RT @ReverendWarnock: ""This election, like the last one, is going to depend on you.""

These voters have a message for you about Early Voting…",1209216199,en,2022-11-22T17:04:51.000Z,1595101010325897217,['1595101010325897217']
RT @na52g: @Jim_Jordan What's the matter JJ? Looks like you're trying to set the stage .... 1/6 got ya worried?,1209216199,en,2022-11-22T17:04:31.000Z,1595100926720851971,['1595100926720851971']
RT @sandwichrecipez: The bodega nailed it https://t.co/w4Jcy0w0Om,1209216199,en,2022-11-22T17:03:24.000Z,1595100645798952968,['1595100645798952968']
"RT @nowthisnews: Rep. Adam Kinzinger, one of two GOP members on the Jan 6 House select committee, said Kevin McCarthy is 'not going to be a…",1209216199,en,2022-11-22T17:02:36.000Z,1595100446108143616,['1595100446108143616']
RT @hugolowell: Really unfortunate for Trump to have drawn 2/3 judges for oral arguments before 11th Circuit today who ruled that Cannon “a…,1209216199,en,2022-11-22T16:59:36.000Z,1595099692173590528,['1595099692173590528']
RT @PaulRieckhoff: So many people are so surprised that a combat vet was at a LGBTQ club. It shows how little people know about vets and ab…,1209216199,en,2022-11-22T16:59:00.000Z,1595099538498387968,['1595099538498387968']
RT @natsechobbyist: There can only be one standard in our military: Loyalty to the Constitution you swear to protect and defend.,1209216199,en,2022-11-22T16:58:31.000Z,1595099416360529920,['1595099416360529920']
"RT @TrueFactsStated: Because folks were asking, I put a few photos of our deer friends on my https://t.co/EmCGF2RwAe account. Any proceeds…",1209216199,en,2022-11-22T16:58:04.000Z,1595099303823183872,['1595099303823183872']
"RT @New_Narrative: In new poll, Biden would defeat Trump in 2024 by a margin of 45% to 41%. If DeSantis were the 2024 GOP nominee, he would…",1209216199,en,2022-11-22T16:56:13.000Z,1595098840511701003,['1595098840511701003']
RT @GasBuddyGuy: It's been 25 days since @TuckerCarlson reported that we'd run out of diesel in 25.9 days... and we have actually more dies…,1209216199,en,2022-11-22T16:55:12.000Z,1595098584328056832,['1595098584328056832']
RT @Rios_Rebecca: Turns out the Wave was Blue 💙,1209216199,en,2022-11-22T16:54:47.000Z,1595098477943562240,['1595098477943562240']
@TribelSocial Bravo,1209216199,pt,2022-11-22T16:53:15.000Z,1595098094865203200,['1595098094865203200']
"RT @TribelSocial: BREAKING: Our statement on why we banned Trumper Congresswoman Marjorie Taylor Greene from @TribelSocial, our pro-democra…",1209216199,en,2022-11-22T16:52:55.000Z,1595098010421448704,['1595098010421448704']
"RT @Variety: Chip and Joanna Gaines are reluctant to sell the castle they just renovated.

""Once I sell you something...you can do what you…",1209216199,en,2022-11-22T16:52:27.000Z,1595097892829667331,['1595097892829667331']
RT @PoliticsVerse: BIG NEWS: President Obama will hold a rally for Raphael Warnock ahead of the Senate runoff.,1209216199,en,2022-11-22T16:50:43.000Z,1595097454474629121,['1595097454474629121']
