author_id,text,created_at,lang,edit_history_tweet_ids,geo,id
306928901,"@TheDemocrats @GOP @POTUS  please, just give student loan borrowers the chance to repay at .5% interest. People won't drown in debt if the monthly payments actually reduce the principal in a meaningful way",2022-11-22T21:28:07.000Z,en,['1595167265175252993'],{'place_id': '01fbe706f872cb32'},1595167265175252993
306928901,France could have 3 or 4 now #FRAAUS,2022-11-22T19:46:31.000Z,en,['1595141694819020800'],,1595141694819020800
306928901,"@CallMeGillette @ludlowsmith @newacctwhoandy @StevenFulop What votes is he trying to get though? He can't run for reelection in 2025 and this sort of thing isn't going to endear him to future Democratic primary voters, who will likely want candidates who fight against highway expansion",2022-11-22T19:18:00.000Z,en,['1595134520956968960'],{'place_id': '01fbe706f872cb32'},1595134520956968960
306928901,"@dudesweet1500 @baseballtwit Relievers are tough. I think Wagner should be in but I'm not sure about relievers like Kimbrel, who struck out a bunch of guys but have even lower innings loads than Wagner",2022-11-22T16:51:09.000Z,en,['1595097565510475777'],{'place_id': '01fbe706f872cb32'},1595097565510475777
306928901,@Phillies Love to see this. We've finally got some stability. Now let's get that damn trophy,2022-11-22T15:46:12.000Z,en,['1595081220253171714'],,1595081220253171714
306928901,"@RealBrittBaker @ScottLesh724 @JayLeeAC @AEW This might not have been a ""Dream Match"" 5 years ago, but you damn sure made it one because of the work you've put in",2022-11-22T15:23:40.000Z,en,['1595075550217113600'],,1595075550217113600
306928901,People on this #NJTurnpike call are screaming for investments in @NJTRANSIT @GovMurphy are you listening?,2022-11-22T15:02:29.000Z,en,['1595070215750049793'],{'place_id': '01fbe706f872cb32'},1595070215750049793
306928901,@WIPMorningShow Simmons is the most frustrating but he at least reached 75% of his potential. Wentz had one great year and Reagor was just a bad choice. So many of the Sixers current problems stem from Fultz not being 75% of the guy he was at UW,2022-11-22T14:43:20.000Z,en,['1595065398910914561'],,1595065398910914561
306928901,The @NJTurnpike call started almost 20 minutes late and people are heated. Glad people recognize that this expansion is a waste of money and not helpful for the environment. #turnpiketrap.,2022-11-22T14:29:31.000Z,en,['1595061921044365312'],{'place_id': '01fbe706f872cb32'},1595061921044365312
306928901,"@baseballtwit Hopefully that changes in the coming years as the older standards for pitchers, the 300 wins 3000Ks become unreachable. Grienke should get in and I wonder if a Modern day Committee gives Kevin Brown a second look",2022-11-22T14:24:16.000Z,en,['1595060599712796673'],,1595060599712796673
306928901,Is anyone else having trouble calling into the @NJTurnpike Board meeting?,2022-11-22T14:18:46.000Z,en,['1595059214866685956'],{'place_id': '01fbe706f872cb32'},1595059214866685956
306928901,I like @Espngreeny likes Jimmy G even more than Nonna G. Jimmy is gonna let the Niners down #sportscenter,2022-11-22T13:09:06.000Z,en,['1595041682524934146'],{'place_id': '01fbe706f872cb32'},1595041682524934146
306928901,@nfranke23 @ryansatin Can't have the crowd thinking it could be Becky then come out with Chelsea Green,2022-11-22T12:38:45.000Z,en,['1595034044663844865'],,1595034044663844865
306928901,@theesk @_DavePowell @LivEchoEFC How does Moshiri get this done without selling?,2022-11-22T11:44:09.000Z,en,['1595020303436070912'],,1595020303436070912
306928901,"RT @DelRiverkeeper: Demand a halt to the NJ Turnpike Expansion project!
Call into the authority board meeting tomorrow Nov 22nd at 9am! 800…",2022-11-22T11:40:52.000Z,en,['1595019481037905921'],,1595019481037905921
306928901,@_ToddBeane @caseybantle Almost #1 in our Federation!! https://t.co/It1ZhPXMh5,2022-11-22T11:27:29.000Z,en,['1595016109723451392'],{'place_id': '01fbe706f872cb32'},1595016109723451392
306928901,@mwteller We got him motion sickness wristbands and that's helped. They use pressure points on the wrists instead of medication,2022-11-22T11:19:08.000Z,en,['1595014008737783809'],,1595014008737783809
306928901,I wouldn't hate going to visit my wife's family if it didn't mean at least 8 hours on the highway.  It's draining and then I'm nowhere near relaxed when we get back  home.  I just dread it.,2022-11-22T03:54:49.000Z,en,['1594902192133128192'],,1594902192133128192
306928901,"This one was difficult 
Wordle 520 4/6

⬛⬛🟨⬛⬛
⬛🟨🟩⬛⬛
🟩🟨🟩⬛🟨
🟩🟩🟩🟩🟩",2022-11-22T02:55:01.000Z,en,['1594887145252069379'],{'place_id': '01fbe706f872cb32'},1594887145252069379
306928901,Turning 35 in the season.  Idk if this is the sort of move that #DCUnited needs to make. Hopefully he can continue to be effective next season https://t.co/6JJFaE2uZk,2022-11-22T02:18:04.000Z,en,['1594877846924759041'],,1594877846924759041
306928901,Bad deal for NJ @GovMurphy lot even going into the environmental costs https://t.co/EQ7K6NXUWi,2022-11-22T01:45:15.000Z,en,['1594869586393972736'],,1594869586393972736
306928901,@JonnyHeller Jimmy played his whole career at SS.  Alot of the guys who have better power numbers spent time at 3B or were only average defensively.,2022-11-22T01:24:49.000Z,en,['1594864445670522880'],,1594864445670522880
306928901,RT @DCUrbanist: 👏🏻TEAR👏🏻IT👏🏻DOWN👏🏻,2022-11-21T22:12:44.000Z,en,['1594816105897676800'],,1594816105897676800
306928901,@gnosklis @JonnyHeller What do you think is the most useful defensive stat?,2022-11-21T21:26:48.000Z,en,['1594804547415052288'],{'place_id': '01fbe706f872cb32'},1594804547415052288
306928901,Awful foul and Wales is level with under 10 minutes left.  Is Wales going to go with the dark arts from here on out? #USAWAL,2022-11-21T20:44:22.000Z,en,['1594793867437547523'],,1594793867437547523
306928901,"@PanasonicDX4500 Krasner needs to do his job, Doc's crimes must be punished",2022-11-21T20:39:23.000Z,en,['1594792611491241985'],,1594792611491241985
306928901,Wouldn't it be nice to have Antonee Robinson at Everton,2022-11-21T20:37:25.000Z,en,['1594792116789850112'],{'place_id': '01fbe706f872cb32'},1594792116789850112
306928901,@LucasRomeroVA @9Azizd @soyesquire @GrantWahl As long as you aren't working in the construction industry,2022-11-21T20:31:45.000Z,en,['1594790690545885184'],,1594790690545885184
306928901,South Jersey in for the @USMNT!!!!,2022-11-21T20:26:42.000Z,en,['1594789421890641921'],,1594789421890641921
306928901,"@PresidentEmbiid Normally, this is when we would count on Furkan to pretend this is the Turkish National Team.",2022-11-21T20:23:36.000Z,en,['1594788643222200331'],,1594788643222200331
306928901,@AO_Columbia Is there a watch party on Friday?,2022-11-21T20:21:04.000Z,en,['1594788003221803008'],,1594788003221803008
306928901,If I had a vote for Cooperstown. #BaseballHall https://t.co/Oe6CTcx630,2022-11-21T19:14:09.000Z,en,['1594771162437124096'],{'place_id': '01fbe706f872cb32'},1594771162437124096
306928901,@SixersPlayer @CForClarity I imagine Wales will try to knick a goal in a counter but will basically sit back and be happy with 0-0,2022-11-21T19:03:18.000Z,en,['1594768434738466818'],{'place_id': 'd6819fe60643ebc1'},1594768434738466818
306928901,Shake Milton about to drop 40 https://t.co/LV6xw5bMxj,2022-11-21T18:14:58.000Z,en,['1594756270208286720'],{'place_id': 'e6203afb56bf53b2'},1594756270208286720
306928901,@RyanSoccerAA His injury is such a bummer,2022-11-21T16:47:20.000Z,en,['1594734217279279104'],,1594734217279279104
306928901,@barstoolsports Well we know it won't be Florida,2022-11-21T16:46:36.000Z,en,['1594734030745993216'],,1594734030745993216
306928901,I don't think there's a more valuable player in the NFL than Patrick Mahomes https://t.co/aNTJ2EgQbP,2022-11-21T13:27:36.000Z,en,['1594683953142702081'],{'place_id': '01fbe706f872cb32'},1594683953142702081
306928901,Another messy #FIFAWorldCup story https://t.co/mri0N4veOV,2022-11-21T11:41:56.000Z,en,['1594657357577031681'],{'place_id': '01fbe706f872cb32'},1594657357577031681
306928901,The look on Justin Herbert's face watching on the sidelines as Patrick Mahomes lead the Chiefs down the field for the goahead score. Can't ever get against 15 #SNF,2022-11-21T04:18:03.000Z,en,['1594545653006360578'],{'place_id': '01fbe706f872cb32'},1594545653006360578
