created_at,id,text,author_id,edit_history_tweet_ids,lang
2022-10-26T18:30:13.000Z,1585338024166297601,@Agustarson @speakeasydev 4) Average number of new API keys per day - indicates how quickly API usage is growing within a target customer company/team. Are more and more integrations being built by a customer or is it just one touch point ?,1503602749740490753,['1585338024166297601'],en
2022-10-26T18:28:47.000Z,1585337660993785856,@Agustarson @speakeasydev 3) Rate % of successful requests vs. unsuccessful sync requests:  Good indication of whether the API aligns with the stated value proposition of your product,1503602749740490753,['1585337660993785856'],en
2022-10-26T18:28:07.000Z,1585337493125152768,@Agustarson @speakeasydev 2) Number of actively daily/monthly users - this is an indication of product growth and in a very simple sense if your API usage is growing,1503602749740490753,['1585337493125152768'],en
2022-10-26T18:25:32.000Z,1585336843578486784,"@Agustarson @speakeasydev 1) ""Time to 200"": how long it takes for a new user to experience their first API call",1503602749740490753,['1585336843578486784'],en
2022-10-26T18:24:49.000Z,1585336664393515008,@Agustarson @speakeasydev Thanks ! yeah there are some key metrics that continue to come up in customer conversations:,1503602749740490753,['1585336664393515008'],en
2022-10-26T03:02:06.000Z,1585104456248885248,@Agustarson We’ve been building a platform at @speakeasydev to help API teams get everything they need to ship a Stripe quality API experience out of the box. Happy to share our learnings so far !,1503602749740490753,['1585104456248885248'],en
2022-10-25T17:58:24.000Z,1584967628460036097,Who's going to @APIWorld !?,1503602749740490753,['1584967628460036097'],en
2022-10-24T21:24:28.000Z,1584657097999847424,RT @sheriffnothing: Data engineering today is where software engineering was ~10-15 years ago. Here's why and what you can do about it:,1503602749740490753,['1584657097999847424'],en
2022-10-24T00:45:54.000Z,1584345403151241216,@roopakv @github @OpenApiSpec Proto style dsl for REST ?!,1503602749740490753,['1584345403151241216'],en
2022-10-23T16:43:22.000Z,1584223968168271873,check out @libel_vox's post on this https://t.co/VAmIFigeip,1503602749740490753,['1584223968168271873'],en
2022-10-23T16:38:46.000Z,1584222814072029185,I think @github copilot's ability to handle boilerplate code just halved how long it takes to write an @OpenApiSpec :) Definitely a bandaid but i'll take it !,1503602749740490753,['1584222814072029185'],en
2022-10-23T16:35:57.000Z,1584222101401088000,@kshithappens Tilak has been a sunday night game changer,1503602749740490753,['1584222101401088000'],en
2022-10-20T20:12:38.000Z,1583189469217189891,@charlesgardens its all about the data mesh,1503602749740490753,['1583189469217189891'],en
2022-10-20T20:10:47.000Z,1583189002366046208,"RT @speakeasydev: 🐝 Find out how the team handled the sticky situation of auth for our embeds which are used by our customer’s users 🐝
http…",1503602749740490753,['1583189002366046208'],en
2022-10-18T12:18:18.000Z,1582345323435159552,@rishabhmjain Every week is 2% of the year,1503602749740490753,['1582345323435159552'],en
2022-10-12T23:21:46.000Z,1580337964395114496,"RT @AstasiaMyers: Trends in #devtools #infra now:

#API tooling: @getpostman @speakeasydev🐝
#PaaS: @Railway @flydotio💻 
#Edge runtimes: htt…",1503602749740490753,['1580337964395114496'],en
2022-10-12T07:55:54.000Z,1580104963971112961,@rishabhmjain i did not know you could move like that,1503602749740490753,['1580104963971112961'],en
2022-10-11T20:03:34.000Z,1579925698810380289,"RT @speakeasydev: 🐝🐝There are only two certainties in the life of a SaaS engineer: death &amp; #dashboards. When building dashboards, the first…",1503602749740490753,['1579925698810380289'],en
2022-10-11T09:52:15.000Z,1579771854990249986,London @TfL’s memorable safety slogans are probably second only to the bangalore traffic police. #seeitsayitsortit,1503602749740490753,['1579771854990249986'],en
2022-10-11T09:34:23.000Z,1579767359329341440,Love the slack pings when our mascot tells us we got a new signup on the newsletter at ⁦@speakeasydev⁩  #mascot #beezy https://t.co/tFoM1Wsjd0,1503602749740490753,['1579767359329341440'],en
2022-10-10T06:10:02.000Z,1579353542782947328,@arjie Looks more like a veteran of your pocket,1503602749740490753,['1579353542782947328'],en
2022-10-04T17:29:14.000Z,1577350143162171401,Come chat with us on Slack if you are looking to build out a great dev ex for your API users be it idiomatic client sdks or full blown dev portal. https://t.co/YVCoQwgvkw,1503602749740490753,['1577350143162171401'],en
2022-10-04T17:28:11.000Z,1577349880133173256,At 🐝 Speakeasy 🐝We've been knee deep building out a platform for api #devex from dev portal embeds to client sdks. #openapi specs are at the heart of the #restapi ecosystem,1503602749740490753,['1577349880133173256'],en
2022-10-04T17:27:48.000Z,1577349782514835456,"#openapi is an extremely flexible API description format. That's great for covering corner cases, but can be paralyzing to devs just getting started. @reefbarman is kicking of a series of posts showcasing best practices so you can wrangle this rich but confusing ecosystem. https://t.co/UbP2xshSYh",1503602749740490753,['1577349782514835456'],en
2022-10-04T11:01:36.000Z,1577252593595650048,@arjie Don’t forget the conveniently located Souvla just 5 minute walk away,1503602749740490753,['1577252593595650048'],en
2022-10-03T20:28:12.000Z,1577032792545763329,@adityaag I hope so ! Walking on Brannan I miss the tech energy from the last decade!,1503602749740490753,['1577032792545763329'],en
2022-10-03T20:23:16.000Z,1577031551388241920,@rishabhmjain We should just use these instead of H1B visas to prove residency. It's proof you've bought into American way of life  :D,1503602749740490753,['1577031551388241920'],en
2022-09-28T16:44:40.000Z,1575164601599000579,#openapi as a format feels like a loose ball of spaghetti that was thrown at the wall and it just stuck !,1503602749740490753,['1575164601599000579'],en
2022-09-27T20:18:03.000Z,1574855913214615553,RT @speakeasydev: Weekly changelogs continues to be our favorite time at 🐝 Speakeasy 🐝 . We get to make fun videos for our customers :),1503602749740490753,['1574855913214615553'],en
2022-09-27T04:12:02.000Z,1574612806162255872,RT @mattrickard: The M:N API Problem in systems integration https://t.co/B3iylinvDd,1503602749740490753,['1574612806162255872'],en
2022-09-24T01:24:46.000Z,1573483547540611072,Walking through Fidi in SF and missing the pre Covid energy that it had #timetobuild,1503602749740490753,['1573483547540611072'],en
2022-09-22T18:50:23.000Z,1573021910085951488,What ever happened to listservs ?,1503602749740490753,['1573021910085951488'],en
2022-09-21T05:20:09.000Z,1572455620498067457,"RT @speakeasydev: How does an #API help prevent over $1B in fraud? Check out our conversation with @cchio, the CTO and Co-founder of Unit21…",1503602749740490753,['1572455620498067457'],en
2022-09-15T17:57:34.000Z,1570471902493437952,"Our latest 🐝API Expert's 🐝 interview @akshatag77  is here ! Akshat's an extremely insightful product leader who worked at @skyflow. They've built one of the best API developer experiences out there today. Checkout their best in class API docs if you haven't ! 
#apiops #devex https://t.co/htsq2Fnthj",1503602749740490753,['1570471902493437952'],en
2022-09-14T18:40:30.000Z,1570120321344348160,"Really excited to be the first sponsor of @radioxid's OSS project  that makes working with #openapi specs easy. He's made a critical library in the ecosystem that allows us to focus on building products and not worrying about schema validation and serialisation !

#OSS #devex https://t.co/wJfPgohr16",1503602749740490753,['1570120321344348160'],en
2022-09-13T21:42:56.000Z,1569803843608915968,Can't say it better than @kinlane . OpenAPI is just a means to an end. What developers care about is creating a great product and API for their customers to use. #devex #apiops https://t.co/20OP5XULjW,1503602749740490753,['1569803843608915968'],en
2022-09-11T03:46:58.000Z,1568808293329686530,@charlesgardens It’s salary and equity so total comp is pretty good,1503602749740490753,['1568808293329686530'],en
2022-09-10T19:00:13.000Z,1568675731747799041,@rishabhmjain In another life this would have been a great career !,1503602749740490753,['1568675731747799041'],en
2022-09-09T23:04:31.000Z,1568374821461069826,"RT @boyney123: Just been reading how McDonald’s are doing event-driven architectures 🍔😍

⚠️ Importance of standards
📄 Schema registry + val…",1503602749740490753,['1568374821461069826'],en
2022-09-09T20:20:50.000Z,1568333631877451777,@charlesgardens unless you are @arjie,1503602749740490753,['1568333631877451777'],en
2022-09-09T18:33:33.000Z,1568306633973055489,RT @peer_rich: 90% of SaaS is just building integrations,1503602749740490753,['1568306633973055489'],en
2022-09-09T16:51:27.000Z,1568280939171815425,"Sneak peak of a feature we've been working on at @speakeasydev 🐝. Have you ever tried to collaborate with your customers on failing requests ? How cool would it be to share a permalink to any past API request and hit replay to debug ?! Check out the demo :) 
#devex #devportals https://t.co/a3efU42nYQ https://t.co/Kb7UwjmerM",1503602749740490753,['1568280939171815425'],en
2022-09-08T23:19:14.000Z,1568016138147360769,"RT @speakeasydev: If you're productizing an #API, relentlessly focus on reducing the 'time to 200'. Getting to that first successful reques…",1503602749740490753,['1568016138147360769'],en
