author_id,lang,id,created_at,edit_history_tweet_ids,text
74976267,en,1578706409318805504,2022-10-08T11:18:33.000Z,['1578706409318805504'],RT @TulsiGabbard: The Biden Admin does not care about the American people. Permanent Washington loots us to serve the interests of the arms…
74976267,en,1577929888362893312,2022-10-06T07:52:56.000Z,['1577929888362893312'],RT @stephensacks: .@PolitiFact gets four Pinocchios for pretending @DNC buzzword ‘equity’ doesn’t mean skin color. Bottom line - @KamalaHar…
74976267,en,1577144255054692352,2022-10-04T03:51:06.000Z,['1577144255054692352'],"RT @larryelder: Part 3

(FLASHBACK) Larry Elder: What About Democrats Who 'Deny Elections'?

https://t.co/piU1X2wGec"
74976267,en,1577037534781063170,2022-10-03T20:47:02.000Z,['1577037534781063170'],"@iztok_franko Yay for your 'insightful, not so nerdy' Mavs' analysis returning!!"
74976267,en,1577003131237376001,2022-10-03T18:30:20.000Z,['1577003131237376001'],"RT @RNCResearch: Democrats claim they don’t support Defunding the Police.
 
Here is 9 minutes of Democrats saying, “DEFUND THE POLICE!” htt…"
74976267,en,1576478235877322752,2022-10-02T07:44:35.000Z,['1576478235877322752'],RT @KonstantinKisin: There is a narrative emerging about people like me who predicted the Russian invasion and the broader geopolitical reo…
74976267,en,1575659346712993792,2022-09-30T01:30:37.000Z,['1575659346712993792'],"I think I recall they applied and got approved a month ago.

If they have it, it doesn't mean they have to use it. It's just a tool if/when one is needed. https://t.co/HAk3LPWF4t"
74976267,en,1573910107867545602,2022-09-25T05:39:46.000Z,['1573910107867545602'],"RT @larryelder: The Current Crime Wave Is Unlike Any Ever Experienced In America

https://t.co/NGUv3sh4Tb"
74976267,en,1571266143247114241,2022-09-17T22:33:35.000Z,['1571266143247114241'],RT @SportsSturm: The Jones family will never know the strategic good they could do if they would just stop talking.
74976267,en,1571266051500871683,2022-09-17T22:33:14.000Z,['1571266051500871683'],"RT @SahilBloom: Last year, I had a conversation that changed my life.

It caused me to upend everything and move across the country.

The l…"
74976267,en,1571265317598334978,2022-09-17T22:30:19.000Z,['1571265317598334978'],"RT @RonPaul: America was never meant to be an Empire.

Empire's go broke!

America was meant to be an example to the world. A ""land of the…"
74976267,en,1570883223072440320,2022-09-16T21:12:00.000Z,['1570883223072440320'],RT @newtgingrich: Has the Biden team lost its collective mind? Biden has misinformed 2 million people to come to the United States illegall…
74976267,en,1570306160577716225,2022-09-15T06:58:58.000Z,['1570306160577716225'],"The Mavs tanking, or not tanking, didn't really make a difference in 2019. It was just the luck of the draw.

Perfect spot, awful luck. The Mavs tied for lottery slot w EXACTLY the same number of ping-pong balls as NO and MEM. NO jumped to 1st. MEM jumped to 2nd. Mavs missed out. https://t.co/hautRtn757"
74976267,en,1570304331316076544,2022-09-15T06:51:42.000Z,['1570304331316076544'],"RT @dalton_trigg: I was frustrated by the situation overall, especially later when we saw how the 2019 lottery went… but I couldn’t be mad…"
74976267,en,1570302791922614272,2022-09-15T06:45:35.000Z,['1570302791922614272'],RT @TheLeoTerrell: Prosecution Declined For Assistant US Attorney Who Exposed Genitals https://t.co/X7I2fXgWX7
74976267,en,1570259078169100289,2022-09-15T03:51:52.000Z,['1570259078169100289'],"RT @JonathanTjarks: You can find Jon’s obituary, memorial service live-streaming link, and other details at https://t.co/59Mc3aoA4D Thank y…"
74976267,en,1569813869794656259,2022-09-13T22:22:46.000Z,['1569813869794656259'],RT @MarkDavis: A very nice moment of graciousness in an ungracious time on a famously ungracious platform.  #MonicaLewinsky
74976267,en,1569813439991922688,2022-09-13T22:21:04.000Z,['1569813439991922688'],"RT @townhallcom: BIDEN: The Inflation Reduction Act ""helped reduce inflation at the kitchen table.""

Today, the Consumer Price Index report…"
74976267,en,1569210397097431040,2022-09-12T06:24:47.000Z,['1569210397097431040'],"Prayers for the family and friends - to lose the talents and presence of a good man - and may they be mixed with the joy and comfort of knowing that he is now experiencing the gain (of a better place, a better physical condition, and more) he has through Christ. https://t.co/ugD5LB6YhI"
74976267,en,1568386964440727552,2022-09-09T23:52:46.000Z,['1568386964440727552'],"RT @larryelder: The Democrats believe the Constitution should be ever-changing.

Wrong — the Constitution is a contract between the governm…"
74976267,en,1567987389636780034,2022-09-08T21:25:00.000Z,['1567987389636780034'],RT @conservmillen: Republicans love running away from the issues and playing defense. Stop hiding your position on abortion. Stop nuancing…
74976267,en,1567254055268802574,2022-09-06T20:50:59.000Z,['1567254055268802574'],RT @GehlkenNFL: Quite the statistic from @DallasCowboysPR: Cowboys RG Zack Martin has more Pro Bowl selections (seven) than he does holding…
74976267,en,1567252965018275841,2022-09-06T20:46:39.000Z,['1567252965018275841'],RT @All_Things_Mavs: He’s the best player in the game. It’s just that simple. There’s nothing Luka Doncic can’t do. He will cross your best…
74976267,en,1567252552630116356,2022-09-06T20:45:01.000Z,['1567252552630116356'],RT @wokal_distance: Get this guide in the hands of parents who are facing Radical Gender Theory in schools!
74976267,en,1567248646701301760,2022-09-06T20:29:30.000Z,['1567248646701301760'],RT @libsoftiktok: Assistant principal of @nc_schools says he won’t hire conservatives and discusses how he embeds gender ideology into the…
74976267,en,1567167833175478276,2022-09-06T15:08:22.000Z,['1567167833175478276'],In case you've forgotten just how special that #41 was .... https://t.co/4GbbaGGxFu
74976267,en,1566981840057110529,2022-09-06T02:49:18.000Z,['1566981840057110529'],"The TEXAS RANGERS are 3900-4096 to date.*

The majority of that deficit is from their sad ""I've fallen and I can't get up"" years beginning 2017.

*The abysmal failures of Washington Senators and their dearth of wins? Not part of the Texas Rangers' record imo. DC is not Texas. https://t.co/GQqFNKmi5A"
74976267,en,1565841620704153606,2022-09-02T23:18:28.000Z,['1565841620704153606'],"The Constitution says Congress, not the President, decides what to spend. It starts in the House, not the White House. So the idea that Biden (or any single person) is able, at a whim, to unilaterally spend &gt; Half a Trillion Dollars of my money &amp; yours seems way unconstitutional. https://t.co/AScG1xN3zb"
74976267,en,1565479846536519680,2022-09-01T23:20:55.000Z,['1565479846536519680'],RT @fishsports: The reports that #Cowboys have ‘ended’ or ‘tabled’ or ‘broken off’ contact with Jason Peters hover somewhere between ‘prema…
74976267,en,1565476634806960130,2022-09-01T23:08:09.000Z,['1565476634806960130'],RT @tedcruz: shameless gaslighting
74976267,en,1565442176716267520,2022-09-01T20:51:14.000Z,['1565442176716267520'],"RT @SBNation: The full haul the Jazz got for Donovan Mitchell and Rudy Gobert: 

Malik Beasley
Leandro Bolmaro
Walker Kessler (No.22 pick)…"
74976267,en,1565441787501678593,2022-09-01T20:49:41.000Z,['1565441787501678593'],RT @KingJosiah54: The Knicks after the Cavs got Donovan Mitchell https://t.co/rWEqMKroGG
74976267,en,1565091886540685313,2022-08-31T21:39:18.000Z,['1565091886540685313'],Concerning note for Cowboys' fans. https://t.co/fuNMSI2DiM
74976267,en,1564803555801841665,2022-08-31T02:33:35.000Z,['1564803555801841665'],"The man behind the plate is known for something - and his stunning ""skills"" are on display once again. https://t.co/SdI6neIhM3"
74976267,en,1564699794009899009,2022-08-30T19:41:16.000Z,['1564699794009899009'],"Neuroblastoma hits young kids and is deadly. Family gets devastated on many levels. My family knows this first hand.

I am helping. If you have a few dollars, please consider taking a few minutes to help too. https://t.co/rb3wmpxiRe"
74976267,en,1564548935359909888,2022-08-30T09:41:48.000Z,['1564548935359909888'],"If you like baseball, this is worth your time. Very interesting transparency. https://t.co/87983Xveiw"
74976267,en,1564387065768427522,2022-08-29T22:58:36.000Z,['1564387065768427522'],"Arguably, the deal for JD was MORE about ""gotta get Kinsler out of our way"" than about what Fielder would give them. Profar was JD's baby.

JB missed completely on Kinsler value to team, on Profar future, on Fielder's worth &amp; career arc. Fielder money waste was franchise killer."
74976267,en,1564387064224911362,2022-08-29T22:58:35.000Z,['1564387064224911362'],"Yes JD had some positive data points to use. But many pointed out (wisely) that PF 3-8 years prior wasn't BEST lens for what his tomorrow might look like.

Money committed was massive. But negatives had been emerging already. Bigger. Slowing bat, feet. Likely DH only. https://t.co/ZJz7WIxbY5"
74976267,en,1564349631068241922,2022-08-29T20:29:50.000Z,['1564349631068241922'],"Respectfully, I'm not so sure. 

Fielder had HUGE question marks, in real time (weight, longevity, massive contract, some decline prior year?). It felt like JD blithely assumed risk of a BIGGER problem to solve his smaller ""Ian problem"" (which his Profar over-rating was part of) https://t.co/biViceTTu2"
74976267,en,1564339840409378818,2022-08-29T19:50:56.000Z,['1564339840409378818'],"The big negative for me is not the fact that fans didn't see the true value of Kinsler, but rather that the vaunted JD/Rangers front office proved clueless.

The Kinsler-Fielder trade was franchise crushing on every level (killing its play, its finances, its future, its soul). https://t.co/kiBVrOKQAO"
74976267,en,1563812711624048641,2022-08-28T08:56:19.000Z,['1563812711624048641'],"RT @ThreeTwoEephus: AT 12:28am this morning (central time), a 1952 Topps Mickey Mantle card (graded 9.5) sold for $12.6 million at Heritage…"
74976267,en,1563778465429692416,2022-08-28T06:40:14.000Z,['1563778465429692416'],Anyone wonder about the Blazers willingness to TWICE use a premium draft pick on players with such significant medical red flags that were there before drafting those players? https://t.co/7FspLF8m3d
74976267,cy,1563698885188587524,2022-08-28T01:24:01.000Z,['1563698885188587524'],RT @tedcruz: math
74976267,en,1563306595953811456,2022-08-26T23:25:11.000Z,['1563306595953811456'],"RT @GOPChairwoman: Over 60% of Americans do not have a bachelor’s degree. 80% do not have student loans.
 
Biden is making working class fa…"
74976267,en,1563306427300876288,2022-08-26T23:24:31.000Z,['1563306427300876288'],"RT @larryelder: According to an analysis of #Biden's #StudentDebtForgiveness plan, “between 69 and 73 percent of the debt forgiven accrues…"
74976267,en,1563306339983839232,2022-08-26T23:24:10.000Z,['1563306339983839232'],"RT @tedcruz: The top 40% of American households hold 60% of the student loans.

Joe Biden is stealing from the poor and giving to the rich.…"
74976267,en,1562302928496492544,2022-08-24T04:56:58.000Z,['1562302928496492544'],RT @tedcruz: true that.
74976267,en,1562302609012281344,2022-08-24T04:55:42.000Z,['1562302609012281344'],"RT @tedcruz: This is by design. 

#Bidenflation"
74976267,en,1562301617403305984,2022-08-24T04:51:46.000Z,['1562301617403305984'],"RT @realchrisrufo: Florida father Wendell Perez tells the state surgeon general that Clay County District Schools secretly ""transitioned"" h…"
74976267,en,1562175010172796929,2022-08-23T20:28:40.000Z,['1562175010172796929'],"This is a preview of sorts of what the Dallas City Lake (in the process of being created on this footprint of land in the video) might look like one day. If it ever gets finished, that is. https://t.co/CfTqLntL4x"
