text,created_at,lang,id,edit_history_tweet_ids,author_id
"Michael W. Twitty, @KosherSoul, an award-winning culinary historian, food writer, teacher and author, will join the free, online “Contemporary Conversations” series of @MCPL_Libraries at 7 p.m. on Saturday, Dec. 10. Details ➡️ https://t.co/0YvsxpvHBV. https://t.co/9IoxMA0314",2022-11-17T15:01:36.000Z,en,1593258057181679616,['1593258057181679616'],18009561
"💻 Get your free flu shot! For everything you need to know, visit ➡️ https://t.co/nzIFvDX456. https://t.co/K27hkvyti8",2022-11-17T14:01:21.000Z,en,1593242893615255552,['1593242893615255552'],18009561
RT @ReadyMontgomery: Anyone seeking to assist those displaced by the fire at the Potomac Oaks Condominium Complex in #Gaithersburg can visi…,2022-11-17T13:34:45.000Z,en,1593236198721716227,['1593236198721716227'],18009561
❕ @ABSMoCo is partnering with local businesses to curb alcohol-impaired driving during the holiday season. ABS is distributing coasters that feature a QR code directing patrons to an online list of alternative rides to get home safely when drinking. ℹ️➡️ https://t.co/PdN4HbGrwl https://t.co/4AwoVzweZK,2022-11-16T22:00:46.000Z,en,1593001154560282626,['1593001154560282626'],18009561
"Experiencing symptoms of #COVID19? Make sure to get tested. For more information, visit ➡️ https://t.co/nIBTprHHX8. https://t.co/9ODn35KBh5",2022-11-16T20:30:21.000Z,en,1592978401530445825,['1592978401530445825'],18009561
Have you heard? @MoCoRec is offering a special membership pass through the end of the year. Learn more ➡️ https://t.co/69xP6n626c. https://t.co/eqGalaSNIt,2022-11-16T15:15:20.000Z,en,1592899122419621888,['1592899122419621888'],18009561
RT @ReadyMontgomery: OEMHS is on scene at the building fire/explosion in #Gaithersburg to support our response partners @mcfrs @mcpnews and…,2022-11-16T14:56:44.000Z,en,1592894441626701824,['1592894441626701824'],18009561
"RT @MoCoRec: We are offering a special ""Fall-iday"" pass to get you access to our Community Recreation Center fitness spaces through the end…",2022-11-16T14:03:50.000Z,en,1592881132479315968,['1592881132479315968'],18009561
"#DidYouKnow you can check the status of a building permit online❓ Visit the Montgomery County Department of Permitting Services website to get started! 
 💻➡https://t.co/mWnD2vWgFf. 
If you have questions, call 3-1-1. 
#MoCoDPS #DYK @311MC311 https://t.co/nPip43owPF",2022-11-16T14:01:43.000Z,en,1592880596371611648,['1592880596371611648'],18009561
#ICYMI photos from the first budget forum! Check out the calendar to find the next forum happening near you ➡️ https://t.co/UyXJLQZ1u5. https://t.co/7gVSsdXxlA,2022-11-15T21:45:13.000Z,en,1592634851894738952,['1592634851894738952'],18009561
Today is #AmericaRecyclesDay! Learn more about recycling from @MyGreenMC ➡️ https://t.co/aG8sOL9yXN. ♻️ https://t.co/tpIH9QuPZM,2022-11-15T20:30:14.000Z,en,1592615985181298688,['1592615985181298688'],18009561
"#HappeningNow! 
🎧 Listen live to Montgomery Al Dia w/ host Lorna Virgili for updates from #MoCoDPS about a new customer survey and how a free online design consultation service may help you plan your future building projects. 
📻▶https://t.co/X2RuyDGxu5. https://t.co/oNvwTOri8e",2022-11-15T19:01:23.000Z,en,1592593622326603779,['1592593622326603779'],18009561
"Don't miss the Montgomery County Thanksgiving Parade, taking place this Saturday, Nov. 19 in #SilverSpring. For everything you need to know ➡️ https://t.co/swnCYiHm83. https://t.co/qn31ttIirK",2022-11-15T18:00:20.000Z,en,1592578259132502016,['1592578259132502016'],18009561
RT @MCDOTNow: MCDOT is seeking up to 45 high school students to serve as “ @VisionZeroMC Youth Ambassadors” who will learn leadership skill…,2022-11-15T17:57:06.000Z,en,1592577445617893376,['1592577445617893376'],18009561
"#GoVaxMoCo To learn more about getting a #COVID19 vaccine/booster and to make an appointment, visit ➡️ https://t.co/LhLZGxdbuq. https://t.co/1j21f0cTza",2022-11-15T16:15:11.000Z,en,1592551799281504256,['1592551799281504256'],18009561
"RT @MontgomeryParks: Due to tree work, Sligo Creek Parkway is closed today (Tuesday) from 9 am to 3 pm between Wayne Avenue and Piney Branc…",2022-11-15T15:12:35.000Z,en,1592536044221915136,['1592536044221915136'],18009561
