text,lang,id,author_id,geo,edit_history_tweet_ids,created_at
@teej61 @ChristopherOpat @Constan70997526 @SeagreenWench @JohnMFodera @Gordo19571 Never saw a Negroni come in a water glass with a normal straw.,en,1587194181281357825,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1587194181281357825'],2022-10-31T21:25:56.000Z
@Haley_nhl19 Haley can you see…,en,1587193055249108994,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1587193055249108994'],2022-10-31T21:21:27.000Z
"@JClarkNBCS @NHLFlyers @NBCPhiladelphia @NBCSPhilly Family, no matter what sport!",en,1587192548644327431,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1587192548644327431'],2022-10-31T21:19:26.000Z
@AH_Pod Steady to heavy rain around the 1st pitch and all game. Should postpone since the rest of the week looks stellar!,en,1587192310294581254,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1587192310294581254'],2022-10-31T21:18:30.000Z
@xoholly 🦅,und,1587171943937150976,1206959168629985286,{'place_id': '8647282dba1cee1e'},['1587171943937150976'],2022-10-31T19:57:34.000Z
@24tog Dark chocolate are the best!,en,1587054589173448709,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1587054589173448709'],2022-10-31T12:11:14.000Z
@Haason7Reddick Huge game!,en,1586827438104928256,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1586827438104928256'],2022-10-30T21:08:37.000Z
@DZangaroNBCS He totally gets it! He is Philly!,en,1586758030183567361,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1586758030183567361'],2022-10-30T16:32:49.000Z
@LaneJohnson65 @Eagles @NFL @LFFStadium Welcome back brother! Let’s send them back to Pittsburgh bruised and battered!,en,1586756800057147397,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1586756800057147397'],2022-10-30T16:27:56.000Z
"@NBCSPhilly It was clear that he was doing something, but not sure why Topper didn’t at least have the umpires check it out? Doesn’t hurt. Changing gloves and spikes, something on his glove hand and wiping it on his uniform after each inning is suspicious, but what will @MLB do?",en,1586690246510526464,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1586690246510526464'],2022-10-30T12:03:28.000Z
@JOEL9ONE @Devan_Kaney He should throw out the first pitch on Monday!,en,1586480264556924928,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1586480264556924928'],2022-10-29T22:09:05.000Z
@joseblanco809 @CigarChairman @BrightmanGeorge @Mike_W_Simpson @Cigar_Ben @doc_wil @ubertradition @HN_JAD @MobRules2020 @AFuenteCigars @RobustoBabe Happy Birthday Jose! 💨,en,1586055340260564992,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1586055340260564992'],2022-10-28T18:00:35.000Z
@JohnKruk I’m watching from my house in Annville!,en,1585978692819222528,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1585978692819222528'],2022-10-28T12:56:01.000Z
@cupofcarliejo 🔥,und,1585379348869443584,1206959168629985286,{'place_id': 'dd9c503d6c35364b'},['1585379348869443584'],2022-10-26T21:14:26.000Z
"@Devan_Kaney I don’t know what to do while waiting for Friday. TV is useless, and the weather blows. Guess I’ll watch Harper’s home run again. 😉🤣",en,1585002531750825985,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1585002531750825985'],2022-10-25T20:17:06.000Z
@24tog Same. And it’s still butchered.,en,1584912423844290562,1206959168629985286,{'place_id': '3d66c4f797ae51e6'},['1584912423844290562'],2022-10-25T14:19:02.000Z
@24tog Friend of mine was at the game Saturday and got me a towel. Have worn my scarlet Harper jersey since we were in Philly during the Wildcard. Amazing feels!,en,1584555799099023362,1206959168629985286,,['1584555799099023362'],2022-10-24T14:41:56.000Z
@JohnKruk @yoda @Phillies @TMacPhils @bryceharper3 I wouldn’t except anything different!!! Miss you on TV.,en,1584554746211618816,1206959168629985286,,['1584554746211618816'],2022-10-24T14:37:45.000Z
@24tog Indeed,en,1584308067738738690,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1584308067738738690'],2022-10-23T22:17:33.000Z
@TyJohnsonNews Definitely not Hand.,en,1584276123990433792,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1584276123990433792'],2022-10-23T20:10:37.000Z
@svcigar @SamuelAdamsBeer Cheers Sean!,en,1583828568710459392,1206959168629985286,{'place_id': 'dd9c503d6c35364b'},['1583828568710459392'],2022-10-22T14:32:11.000Z
@CrossingBroad Asleep,en,1583661410847887360,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1583661410847887360'],2022-10-22T03:27:58.000Z
