created_at,author_id,edit_history_tweet_ids,lang,text,id
2022-11-09T17:07:52.000Z,14532664,['1590390730031521792'],en,"@LinusTech Headphones, I just need a really good wireless set, I know that wired is better and all that but I don't like to be tethered to anything.",1590390730031521792
2022-11-08T18:19:14.000Z,14532664,['1590046299508072448'],en,"Your file names are not Tweets, don’t use that 256 character limit on the file name. #itproblems",1590046299508072448
2022-11-07T15:11:26.000Z,14532664,['1589636651680419842'],en,@KoboldPress Nothing better than an extra hand in the kitchen you can trust,1589636651680419842
2022-11-06T17:36:06.000Z,14532664,['1589310672424534017'],en,@Imposter_Edits @johnbryanesq this is a video I would love to see you cover on your channel.  This man did nothing wrong and the police retaliated against someone exercising their rights.,1589310672424534017
2022-11-06T02:20:02.000Z,14532664,['1589080134900154370'],en,"RT @David3141593: ⚠️ TRADE OFFER ⚠️

You receive: Highest-available-resolution images in your twitter feed

Elon receives: Increased CDN lo…",1589080134900154370
2022-11-06T02:14:08.000Z,14532664,['1589078648652693504'],en,"@Ornyadams Escalators, really underappreciated in some places.",1589078648652693504
2022-11-06T00:55:11.000Z,14532664,['1589058781555851264'],qme,@OliviaRubinABC https://t.co/iZGt4mr211,1589058781555851264
2022-11-06T00:25:15.000Z,14532664,['1589051250326515712'],en,@WUTangKids Cautiously optimistic,1589051250326515712
2022-11-05T20:26:29.000Z,14532664,['1588991162240860161'],en,"Oof, now I can see why he is spiraling on this issue. https://t.co/jdUHRzWFzA",1588991162240860161
2022-11-05T07:32:18.000Z,14532664,['1588796331774349313'],en,"I don't think this is going to be the strategy call that's going to fix this.  Its these sorts of outburst posts that giving brands pause, I am sure you just made the problem worse. https://t.co/IE1uaVjeuy",1588796331774349313
2022-11-05T06:03:09.000Z,14532664,['1588773897474043904'],en,"RT @MeidasTouch: This is big. Our #GOPGroomers video now has over 500,000 views. Here's how YOU can make it have the most impact.

Retweet…",1588773897474043904
2022-11-05T05:52:10.000Z,14532664,['1588771133167656960'],en,RT @rmayemsinger: Elon Musk cannot handle being properly schooled. A tragedy in three acts: https://t.co/MXSWQPWo2b,1588771133167656960
2022-11-05T05:42:09.000Z,14532664,['1588768611036180482'],en,"@atomicthumbs Bane of my existence, I can't tell you how many times these things are used in a way that makes actually routing cable and moving equipment so much harder.",1588768611036180482
2022-11-04T20:05:25.000Z,14532664,['1588623472963772416'],en,@tovtheology @theB4NP I found my new evangelical church tag line!,1588623472963772416
2022-11-04T05:17:42.000Z,14532664,['1588400069908172800'],en,@rdmetz And you know that from spec sheets?  Or how about we wait and see how innovation in design works against pure brute size and power.,1588400069908172800
2022-11-04T01:01:16.000Z,14532664,['1588335537504800769'],en,"Right now I could get a 7900XTX and not need a new case, power supply, or any other component to get full power out of the card on my 5800X3D system.",1588335537504800769
2022-11-04T01:01:16.000Z,14532664,['1588335535751278593'],en,Honestly this made me lose respect for Steve and the GN brand and how they are approaching this.  Anyone paying attention would realize that keeping the card as drop-in compatible while giving a good boost in performance is something NVIDIA is not doing.,1588335535751278593
2022-11-04T01:01:15.000Z,14532664,['1588335533792514049'],en,GN missed the mark with this video.  They spent over 6 minutes on a couple marketing points and missed what does make RDNA3 competitive.  The video quickly glosses over important information for Steve's outrage style on this while entirely missing a lot of great product details. https://t.co/YmFLK3Ixwv,1588335533792514049
2022-10-31T07:02:04.000Z,14532664,['1586976784121110528'],en,@Aviation_Intel Hope you got some good sleep this weekend,1586976784121110528
2022-10-31T03:09:30.000Z,14532664,['1586918254374662145'],en,"@stefthepef This is an influence buy, get the check mark show up more often, have a louder voice.  It’s going to drive people out.  Verification will be done by payment method most likely and totally abused.  Hope this drives even more brands away.",1586918254374662145
2022-10-31T03:04:03.000Z,14532664,['1586916883793518592'],en,@David_Leavitt They know that advertisers are about to flee and are looking to sell influence.,1586916883793518592
2022-10-30T20:57:39.000Z,14532664,['1586824675606163456'],en,@David_Leavitt There is a big possibility he is going to lose a bunch of advertisers on Monday.,1586824675606163456
2022-10-30T20:55:17.000Z,14532664,['1586824082770653185'],en,@ethanjacobslaw Musk has been inflated to a degree he most likely does not feel he needs advice but support.  This means he will not listen to advice but expect people to act on his direction.  This is a spiral he is not going to get out of any time soon.,1586824082770653185
2022-10-30T20:47:37.000Z,14532664,['1586822150287024128'],en,@tuanies This is something I would for sure do on purpose if I was running the desk.,1586822150287024128
2022-10-30T20:46:35.000Z,14532664,['1586821890538057728'],en,@SpeedSportLife All the model 3 buyers at work are trading them in for other brands right now and I think its hilarious.  I mean who is buying these things still?,1586821890538057728
2022-10-30T20:42:00.000Z,14532664,['1586820736789815296'],en,"@TLCplMax I mean he has been a piece of shit for a long time, but also he is being manipulated because the people around him are worse pieces of shit.",1586820736789815296
2022-10-30T20:39:46.000Z,14532664,['1586820174727946241'],en,"@TomCottonAR @GM What are you going to do Tom? Throw them in jail for using their 1st amendment right to not advertise?  Are you going to make a regulation telling companies they HAVE to advertise?  What's your end game on this threat?  Nothing, just posturing. #Hypocrite",1586820174727946241
2022-10-30T17:13:52.000Z,14532664,['1586768361005858818'],en,@HSouthwellFE He is a skilled driver and has show a lot of promise at some races.  I think not having a couple hears of title fighting in F2 set him back. I think he would’ve been a constant podium contender in F2 and title fighter.  I think he would have some race wins in F1 if that happened,1586768361005858818
2022-10-30T16:07:38.000Z,14532664,['1586751690371309568'],en,@ineedmorecyber @forced_request True story: the first Ruby dev I meet was in late 2003 when I was in the Navy.  The next Ruby developer I meet was in 2019.,1586751690371309568
2022-10-30T07:48:19.000Z,14532664,['1586626036669612034'],en,"@GaytonaUSA The emerald mine got h8m the buy in money.  Since then he has been successful on the backs of better people who actually don’t like him.  Fired from PayPal, sued to be listed as Tesla founder (is not really), now showed how bad of a boss he is in public.",1586626036669612034
2022-10-30T05:52:37.000Z,14532664,['1586596919874228224'],en,"Hahaha, in California?  Good luck with that case Twitter.  There is no way an executive contract does not spell out appropriate cause, Musk is going to pay that money, lots of lawyer fees, and maybe some extra damages. https://t.co/AxGI5aVkC4",1586596919874228224
2022-10-28T19:04:02.000Z,14532664,['1586071307375898624'],en,@SpeedSportLife @LN2_R0gue Because this is in California where there are a ton of Z owners but all those cars are shit buckets for the most part and none of them have the money to buy this.  As a two time Nissan owner I have never seen a car become a total hoopty as fast as a Nissan.,1586071307375898624
2022-10-27T23:40:20.000Z,14532664,['1585778455299297280'],en,@Casual_Jacob_ Wondering if you are turning on the correct Peachtree,1585778455299297280
2022-10-27T23:37:41.000Z,14532664,['1585777788518211584'],en,@Casual_Jacob_ Why would it need to be lower?  Sounds comfortable.,1585777788518211584
2022-10-27T15:00:22.000Z,14532664,['1585647601243676673'],en,@TamerlaneBlog I missed this one yesterday but here is the best Mugen car Honda ever put out. https://t.co/MTSnQJfLsN,1585647601243676673
2022-10-27T14:47:06.000Z,14532664,['1585644263424942080'],en,@TamerlaneBlog During my honeymoon in Europe in 2007 I got in one as a taxi in England.  I don’t know if driving in that or the Ford Falcon in Sydney was my top mundane foreign car experience.,1585644263424942080
2022-10-27T14:23:16.000Z,14532664,['1585638264072900609'],en,@Popehat @LawZag Ken waking up this morning had a very specific plan…. https://t.co/EKwHIADRXc,1585638264072900609
2022-10-27T02:28:33.000Z,14532664,['1585458401181433857'],en,"@crankshaftcult @Crocs Payless going to have to have a security guard at the HQ.  Also Toms is just a few exits down from Sketchers, amazed he didn’t try his luck.",1585458401181433857
2022-10-27T02:23:21.000Z,14532664,['1585457092260810752'],en,@natfriedman @nyanotech The first round should be those managers with the most inflated teams so someone competent in the org can start weeding out the low performers,1585457092260810752
2022-10-27T02:11:24.000Z,14532664,['1585454082981888001'],en,"@TamerlaneBlog I mean turns out he wasn’t playing a jerk in Friends, he just is one.",1585454082981888001
2022-10-27T02:10:06.000Z,14532664,['1585453756971245569'],en,@Casual_Jacob_ I really need to go back and see the aquarium,1585453756971245569
2022-10-26T15:08:35.000Z,14532664,['1585287278426873856'],en,So if Elon buys Twitter and turns it into another Parlor/Truth social where do we all go?  Because I am not sticking around.,1585287278426873856
2022-10-26T15:06:29.000Z,14532664,['1585286751802642434'],en,@KoboldPress I have all three and honestly the pocket edition is the way to go for these.  Can’t wait to see what’s next.,1585286751802642434
2022-10-25T20:00:38.000Z,14532664,['1584998389632368640'],en,@SpeedSportLife @TamerlaneBlog Not even going to hate on this because the Magic Mouse is garbage and that Logitech is one of the best on the market.,1584998389632368640
2022-10-25T14:43:12.000Z,14532664,['1584918503945273344'],en,@SpeedSportLife I am weirdly not angry at this even though its not want I want in a product from Lotus.  Mostly because when they sell 100K of these in the first couple years we get the cool ass cars (I hope).,1584918503945273344
2022-10-25T14:41:07.000Z,14532664,['1584917980185767937'],en,@WholesomeMeme This is exactly how I see all new techs that I mentor.,1584917980185767937
2022-10-25T14:40:10.000Z,14532664,['1584917742528139270'],en,@David_Leavitt I am well known for random traps and fake outs so my players are always SUPER cautious.  Like they run into a cabin in the hills below a smokey mountain and treat the three lovely ladies living there like they are some sort of evil coven of hags.,1584917742528139270
2022-10-25T14:36:33.000Z,14532664,['1584916830476718080'],en,"@TamerlaneBlog Black with red interior notchback fox body 5.0?  In that condition with no rust under it and all OEM set up I think $85-94K, my exact guess is $92,000.  I do want it though.",1584916830476718080
2022-10-25T14:34:39.000Z,14532664,['1584916354003791876'],en,"@TamerlaneBlog Mark Webber, because let's get real that's how he was treated even though he had clear championship potential.  Phillipe Masa is another contender at the top spot because he was champion for half a lap and let's not pretend Ferrari ever wanted him as the lead driver.",1584916354003791876
2022-10-24T22:35:35.000Z,14532664,['1584674997834256384'],en,@gguntaku @JayzTwoCents Working with 20-30 year old equipment on Navy ships gave me a few fun shocks because we didn’t see the break in the cable insulation. Only a couple small fires on the ship during my time.,1584674997834256384
2022-10-24T22:30:03.000Z,14532664,['1584673605215866882'],en,@LinusTech I need 4 USB-A ports and 4 USB-C ports on the back please.  Make both my Ethernet ports 10G while you are at it.,1584673605215866882
2022-10-24T21:45:57.000Z,14532664,['1584662504776474624'],en,@Aviation_Intel I am still a fan of the X-32 and the cool jet we never got.,1584662504776474624
2022-10-24T21:44:43.000Z,14532664,['1584662194717085696'],en,@GaytonaUSA Are they still talking about Brundle/Pitt “drama”?,1584662194717085696
2022-10-24T19:30:40.000Z,14532664,['1584628458935947266'],en,@WUTangKids That face on Cruz says “This is my fetish”,1584628458935947266
2022-10-24T18:36:28.000Z,14532664,['1584614818505318400'],en,@OliverSays2 @kylegriffin1 I am stealing your meme but giving you a like because Inhave manors https://t.co/JXlHiT8g1z,1584614818505318400
2022-10-24T18:03:57.000Z,14532664,['1584606635611541505'],en,@LinusTech @ORIGINPC I take offense to your Smurf comment.,1584606635611541505
2022-10-23T21:46:42.000Z,14532664,['1584300306942205952'],en,"@GaytonaUSA Disagree, I like the CH-R more than the Yariscross.  Just wish we got the hybrid version here.",1584300306942205952
2022-10-23T21:45:44.000Z,14532664,['1584300061982224385'],en,@GaytonaUSA I actually really like the DS3 and if the EV sold here it would be top of the short list for looks alone.,1584300061982224385
2022-10-23T01:34:59.000Z,14532664,['1583995369007902720'],en,This is the best one I have seen this year. https://t.co/QiuAIy3KUx,1583995369007902720
2022-10-22T21:05:22.000Z,14532664,['1583927515357143040'],en,@nyanotech They even welded the bolts in so it can't get pulled up easy.  This is just petty.  But it looks like the weak spot is where the wavy metal meets the base and I bet you can just wiggle it off with enough force.,1583927515357143040
2022-10-22T21:01:46.000Z,14532664,['1583926609173618688'],en,Cat on the right looks rather pleased with himself. #caterday https://t.co/rBDEIfiCtx,1583926609173618688
2022-10-22T19:26:50.000Z,14532664,['1583902719550451713'],en,@nyanotech @atomicthumbs Small private seating theater at $30-40 a seat with wait staff could make money at the right high end location.  I can see how outside rich people this had a limited use case,1583902719550451713
2022-10-22T05:01:54.000Z,14532664,['1583685053267136519'],en,@DadSpots Someone has to build that wall in Finland.  We are just collecting the labor.,1583685053267136519
2022-10-22T04:57:35.000Z,14532664,['1583683967714086918'],en,"@atomicthumbs I could see this being used at small venues, rich people houses, and million dollar rentals. It might also work for small movie theaters if it was allowed.  Play new releases at the most popular times",1583683967714086918
