,author_id,lang,id,text,edit_history_tweet_ids,created_at
58,25029937,en,1548827082041556993,"Nancy Malcun has a show on 07/19/2022 at 06:00 PM @ Margaritaville Restaurant Atlantic City in Atlantic City, NJ https://t.co/hg0pAc7uxf #concert https://t.co/QztZUZoPXQ",['1548827082041556993'],2022-07-18T00:28:46.000Z
59,25029937,und,1548826549733842944,Hi https://t.co/ROBi4aPupO,['1548826549733842944'],2022-07-18T00:26:39.000Z
60,25029937,en,1548804321931698176,Live band at cape may ferry https://t.co/7u3iBt7Ohk,['1548804321931698176'],2022-07-17T22:58:20.000Z
61,25029937,en,1548781805989310464,Testing... again lol https://t.co/n4ORHN7bKl,['1548781805989310464'],2022-07-17T21:28:52.000Z
62,25029937,en,1548778757468483584,Testing 1...2...3.. https://t.co/lN9gEBBN4h,['1548778757468483584'],2022-07-17T21:16:45.000Z
63,25029937,en,1548114293517721604,"Nancy Malcun has a show on 07/17/2022 at 06:00 PM @ Cape May Lewes Ferry in North Cape May, NJ https://t.co/JGhNjw4Emj #concert https://t.co/QztZUZGqPo",['1548114293517721604'],2022-07-16T01:16:24.000Z
64,25029937,en,1548091211642064898,Testing testing 1...2...3 https://t.co/ZuSVWVGF7V,['1548091211642064898'],2022-07-15T23:44:41.000Z
65,25029937,en,1548090073794523136,Testing 1...2...3... https://t.co/9a0O0hjR3A,['1548090073794523136'],2022-07-15T23:40:10.000Z
66,25029937,en,1547360850553360384,3rd set cape may! 🎙🎸 #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey #Capemay https://t.co/7cWa1onmMt,['1547360850553360384'],2022-07-13T23:22:30.000Z
67,25029937,en,1547354482769625089,"Nancy Malcun has a show on 07/15/2022 at 06:00 PM @ Andre's Wine Bar &amp; Grill in Brigantine, NJ https://t.co/N6MNO1WRMv #concert https://t.co/QztZUZoPXQ",['1547354482769625089'],2022-07-13T22:57:11.000Z
68,25029937,en,1547346032341630976,Join me at exit zero cape may! #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey #Capemay https://t.co/af2WSoOw1o,['1547346032341630976'],2022-07-13T22:23:37.000Z
69,25029937,en,1547004148968718342,"Nancy Malcun has a show on 07/14/2022 at 06:00 PM @ Yacht Club of Stone Harbor in Stone Harbor, NJ https://t.co/irSiQ8dzsK #concert https://t.co/QztZUZoPXQ",['1547004148968718342'],2022-07-12T23:45:05.000Z
70,25029937,en,1546602015312285698,"Nancy Malcun has a show on 07/13/2022 at 05:00 PM @ Exit Zero Filling Station in Cape May, NJ https://t.co/wJcwKgHgHq #concert https://t.co/QztZUZoPXQ",['1546602015312285698'],2022-07-11T21:07:09.000Z
71,25029937,en,1546283286133186560,"Nancy Malcun has a show on 07/12/2022 at 06:00 PM @ Margaritaville Restaurant Atlantic City in Atlantic City, NJ https://t.co/tOHtMcLNtZ #concert https://t.co/QztZUZoPXQ",['1546283286133186560'],2022-07-11T00:00:38.000Z
72,25029937,en,1546205746093641728,Join me for some sunday music! #Music #Livemusic #Singersongwriter #Girlswithguitars #Southjersey #Atlanticcity #Newjersey https://t.co/rLskucXsJb,['1546205746093641728'],2022-07-10T18:52:31.000Z
