lang,geo,text,edit_history_tweet_ids,created_at,author_id,id
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.820692, 40.869102]}, 'place_id': '27485069891a7938'}",Incident on #HutchinsonRiverParkwayNYC NB at Baychester Avenue https://t.co/WNBauwj4X1,['1597075661176414208'],2022-11-28T03:51:24.000Z,50706690,1597075661176414208
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.05137, 40.731152]}, 'place_id': 'b046074b1030a44d'}",Incident on #NJ139Lower EB at NJ 139 Upper Roadway Exit/Entrance https://t.co/W9dn1zdlrE,['1597075264713854976'],2022-11-28T03:49:49.000Z,50706690,1597075264713854976
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.132214, 40.889617]}, 'place_id': '7356b662670b2c31'}",Cleared: Incident on #GardenStateParkway NB at Exit 156 - US 46,['1597075262608490496'],2022-11-28T03:49:49.000Z,50706690,1597075262608490496
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.05137, 40.731152]}, 'place_id': 'b046074b1030a44d'}",Cleared: Incident on #NJ139Lower EB at NJ 139 Upper Roadway Exit/Entrance,['1597075018256629766'],2022-11-28T03:48:51.000Z,50706690,1597075018256629766
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992311, 40.634173]}, 'place_id': '011add077f4d2da3'}",Cleared: Incident on #B11Bus EB at 50 St/13 Av,['1597074532254515200'],2022-11-28T03:46:55.000Z,50706690,1597074532254515200
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.6844, 40.6831]}, 'place_id': 'cdc37bae2a45fc33'}",Cleared: Incident on #SouthernStateParkway EB from Exit 15 - North Corona Avenue to Exit 17N - Hempstead Avenue,['1597073721843400704'],2022-11-28T03:43:42.000Z,50706690,1597073721843400704
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.981233, 40.577422]}, 'place_id': '011add077f4d2da3'}",Cleared: Incident on #FLine from Coney Island - Stillwell Av to Jamaica - 179 St,['1597073721054953473'],2022-11-28T03:43:41.000Z,50706690,1597073721054953473
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.209891, 40.756394]}, 'place_id': '858cec499f8adba6'}",Incident on #GardenStateParkway NB at Exit 145 - I-280 https://t.co/FOVsxfSbkn,['1597073502800121859'],2022-11-28T03:42:49.000Z,50706690,1597073502800121859
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.972972, 40.740228]}, 'place_id': '01a9a39529b27f36'}",Incident on #FranklinDRooseveltDrive SB at 30 Street https://t.co/9kJrpzkZUP,['1597073501881774086'],2022-11-28T03:42:49.000Z,50706690,1597073501881774086
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.008132, 40.654003]}, 'place_id': '011add077f4d2da3'}",Cleared: Incident on #I278 WB at Exit   - 38th Street; Sunset Park Industrial Park,['1597073499365179392'],2022-11-28T03:42:49.000Z,50706690,1597073499365179392
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.850942, 40.737526]}, 'place_id': '00c39537733fa112'}",Incident on #I495 EB at Exit 22B - Van Wyck Expwy I-678 / College Point Blvd https://t.co/KMTCkrv2YU,['1597073145495982081'],2022-11-28T03:41:24.000Z,50706690,1597073145495982081
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.05137, 40.731152]}, 'place_id': 'b046074b1030a44d'}",Incident on #NJ139Lower EB at NJ 139 Upper Roadway Exit/Entrance https://t.co/W9dn1yWipE,['1597072495752138752'],2022-11-28T03:38:49.000Z,50706690,1597072495752138752
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.802299, 41.095298]}, 'place_id': '8788aa1675cd9146'}",Incident on #SprainBrookStateParkway SB at Bradhurst Avenue; Ramp https://t.co/P60DwaB5HR,['1597072001705086976'],2022-11-28T03:36:52.000Z,50706690,1597072001705086976
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.345397, 40.731998]}, 'place_id': '0e9eb11ae9e524aa'}",Cleared: Closure on #SouthernStateParkway WB at Exit 37N - Belmont Avenue,['1597071352074231809'],2022-11-28T03:34:17.000Z,50706690,1597071352074231809
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.171184, 40.73359]}, 'place_id': 'fa3435044b52ecc7'}",Updated: Special Event on #PrudentialCenterROCK https://t.co/RABvCrOWKN,['1597071083068612609'],2022-11-28T03:33:13.000Z,50706690,1597071083068612609
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992311, 40.634173]}, 'place_id': '011add077f4d2da3'}",Updated: Incident on #B11Bus EB at 50 St/13 Av https://t.co/izIArhKeQr,['1597071081931943937'],2022-11-28T03:33:12.000Z,50706690,1597071081931943937
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.144344, 40.900633]}, 'place_id': '23a06e5cc6d83009'}",Updated: Incident on #I80 WB at Exit 59 - Market St https://t.co/uHsF77qyHf,['1597071080669302785'],2022-11-28T03:33:12.000Z,50706690,1597071080669302785
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.380401, 40.807498]}, 'place_id': '9f23cc99c0ba48db'}",Incident on #NorthernStateParkway EB at Exit 41 - Wolf Hill Road https://t.co/w70h3VA7AF,['1597071076508450816'],2022-11-28T03:33:11.000Z,50706690,1597071076508450816
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.144344, 40.900633]}, 'place_id': '23a06e5cc6d83009'}",Incident on #I80 WB at Exit 59 - Market St https://t.co/uHsF778XiF,['1597070220329291778'],2022-11-28T03:29:47.000Z,50706690,1597070220329291778
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.132214, 40.889617]}, 'place_id': '7356b662670b2c31'}",Updated: Incident on #GardenStateParkway NB at Exit 156 - US 46 https://t.co/iRi6PwkYxa,['1597069989588017152'],2022-11-28T03:28:52.000Z,50706690,1597069989588017152
