created_at,lang,edit_history_tweet_ids,id,text,author_id,geo
2022-11-13T19:54:26.000Z,en,['1591882199787515904'],1591882199787515904,RT @damian_from: RT if you think @Keir_Starmer is one of the worse leaders the @UKLabour Party has ever had.,1100463874678116352,
2022-11-13T19:50:12.000Z,en,['1591881131011739650'],1591881131011739650,@EDunn32 @Always_a_Yes Starmer wants to make Brexit work…Jesus fuckin christ…it’s impossible…grow a pair you waste of space,1100463874678116352,
2022-11-13T19:47:15.000Z,en,['1591880392688140289'],1591880392688140289,@Muqadaam Couldn’t agree more…my biggest gripe about Westminster is the expenses and subsidised meals and drinks…fuckin shocking..#ScottishIndependence,1100463874678116352,
2022-11-13T19:45:07.000Z,en,['1591879852902473728'],1591879852902473728,"RT @Muqadaam: MPs should pay their own bills. Just like the rest of the people in this country.

Retweet if you agree…",1100463874678116352,
2022-11-13T09:52:56.000Z,und,['1591730825082863616'],1591730825082863616,@brindy @ElaineAlba @Alexx_McArthur Yes,1100463874678116352,
2022-11-12T22:32:22.000Z,en,['1591559554885623808'],1591559554885623808,RT @Iain643: It's as simple as that https://t.co/KCcOeB3OEo,1100463874678116352,
2022-11-12T22:28:07.000Z,en,['1591558484868403200'],1591558484868403200,@m_ich__m Well and truly…#ScottishIndependence,1100463874678116352,
2022-11-12T22:27:36.000Z,en,['1591558355616944128'],1591558355616944128,"RT @m_ich__m: Independence for Scotland.
Because without it we're fucked!!
#indyref2 
#YouYesYet",1100463874678116352,
2022-11-12T22:15:47.000Z,en,['1591555383973265410'],1591555383973265410,RT @CraigCelt: “We don’t have to talk about it [VAR]. I think me talking about it the last few weeks has done my football club no favours.…,1100463874678116352,
2022-11-12T22:11:12.000Z,en,['1591554227893067776'],1591554227893067776,@StormySturgeon Standing on a platform in 2014 with Tories and LibDems against independence…that’s when I became an independence supporter…#ScottishIndependence,1100463874678116352,
2022-11-12T14:15:50.000Z,en,['1591434599292620800'],1591434599292620800,Didn’t see Huns penalty as I never watch them…it really is mind blowing the number they get,1100463874678116352,{'place_id': '62a2a7f86cd9a5b4'}
2022-11-12T10:51:33.000Z,en,['1591383191126151168'],1591383191126151168,@Rn1967Nicol @Dani1987C Cost me as well Bob…had tenner on Jota to score next 6/1..🤦‍♂️,1100463874678116352,
2022-11-11T19:40:56.000Z,en,['1591154027345367040'],1591154027345367040,"RT @damian_from: .@Keir_Starmer is one of the worse @UKLabour leaders in the party's history.

RT if you agree",1100463874678116352,
2022-11-11T13:13:16.000Z,en,['1591056465573613577'],1591056465573613577,"@kev21261 Couldn’t agree more…I’m 69 and hated Thatcher with a passion ( only time I was ever unemployed ) but this lot are on a different level. I think it’s impossible to describe them now.Politically they’re fascist, personally I’ve no words",1100463874678116352,
2022-11-11T13:08:35.000Z,en,['1591055288026923010'],1591055288026923010,"RT @kev21261: The UK is worse at the moment, than it ever has been in my 57 yrs, that includes the 3 day week, &amp; no lights, not forgetting…",1100463874678116352,
2022-11-11T13:03:28.000Z,en,['1591053998236532737'],1591053998236532737,"RT @Scotpol1314: More on the ""We cannot afford to give our nurses a decent pay rise"" however we can arm another country always money for ki…",1100463874678116352,
2022-11-11T13:01:28.000Z,en,['1591053498040614914'],1591053498040614914,"RT @80_mcswan: Spread the message Please RT
The wealth of Scotland’s natural resources has been valued by the Office of National Statistics…",1100463874678116352,
2022-11-11T10:53:32.000Z,en,['1591021302672142336'],1591021302672142336,"RT @The_Dundonian: North Sea oil generated £8bn so far this year for the UK treasury.

They say there's at least 50 years of oil left.

Wha…",1100463874678116352,
