edit_history_tweet_ids,created_at,id,author_id,lang,text
['1566451984185573379'],2022-09-04T15:43:50.000Z,1566451984185573379,44583239,en,Loving the @ILMVFX doc on #Disney+ These guys were my heroes growing up. Immense talent working on immense films. What a time it must have been to be at the centre of cinema history. #vfx #StarWars https://t.co/m4IpxCVeyn
['1565322160696180739'],2022-09-01T12:54:20.000Z,1565322160696180739,44583239,en,Doesn't #HansZimmer #ManOfSteel sound like #RadioGaGa by #Queen -just saying 😁🎶 https://t.co/igbcTfCyYn
['1563433693787484160'],2022-08-27T07:50:14.000Z,1563433693787484160,44583239,en,I'm sorry - but if you can't get by on £45K pa you have never had to budget or are mortgaged to the hilt. The energy crisis affects those who have already tightened their spending belts and can do so no more. https://t.co/TDyZ3BwsGU
['1562438737392709632'],2022-08-24T13:56:38.000Z,1562438737392709632,44583239,en,Johnson is seen more visibly in Ukraine than he is in the UK. Perhaps he should concentrate on matters closer to home instead of indulging in war-vanity PR.
['1561451755413684227'],2022-08-21T20:34:43.000Z,1561451755413684227,44583239,en,"This is a slippery slope towards the endgame of variable tariffs per hour - cook and wash at 4am and you're fine, but at 6pm you'll pay premium prices.https://t.co/3SERbsQ8WX"
['1558116645582901248'],2022-08-12T15:42:11.000Z,1558116645582901248,44583239,en,The Rock has a 'get shit done' table. Downing St has the opposite - a Get Jack Shit Done table. | Marina Hyde https://t.co/DQDBzhAG7i
['1557334775366668288'],2022-08-10T11:55:18.000Z,1557334775366668288,44583239,en,Reading alot of rubbish from Truss about reversing NI rise. AFAIK this 1.25% rise was always going down next April and a new Social Care Levy replacing it. Shit talk for media soundbites. Can't stand any of them.
['1557112167626833922'],2022-08-09T21:10:45.000Z,1557112167626833922,44583239,en,"RT @angiesliverpool: A tram passing The Ancient Chapel of Toxteth, Park Road #Liverpool early 1900s https://t.co/ILoVE8RJwG"
['1556946331977097216'],2022-08-09T10:11:46.000Z,1556946331977097216,44583239,en,RT @theipaper: 💷 Nearly £1bn of taxpayers’ money has been spent on advertising campaigns by the Government in the three years since Boris J…
['1556743691661971459'],2022-08-08T20:46:33.000Z,1556743691661971459,44583239,en,"Brought alot of happiness to the world - RIP
https://t.co/CLXzNT6Grq"
['1556584052844552195'],2022-08-08T10:12:12.000Z,1556584052844552195,44583239,en,Really? In August? Is there any feckin need. It's Summer - not October 31! Sheesh @TKMaxx_UK https://t.co/MEfQ1CSJpU
['1556044337179508736'],2022-08-06T22:27:34.000Z,1556044337179508736,44583239,en,Really enjoyed #Prey Intimate and taut performances. Sci-fi horror for those not into Sci-fi horror. Puts other big budget films to shame. https://t.co/1gxwYAiiII
['1555454913655758848'],2022-08-05T07:25:25.000Z,1555454913655758848,44583239,en,Dreaming of good things from this #TheSandman Was it really  34 years ago when I first picked it up from the comic shop! https://t.co/o44GwGbMdS
['1555088154356584450'],2022-08-04T07:08:02.000Z,1555088154356584450,44583239,en,Gary Numan: ‘I thought my comeback would take four years – not 41!’ https://t.co/D7rV26Phnb
['1554574954716348418'],2022-08-02T21:08:46.000Z,1554574954716348418,44583239,en,RT @NicholasMQ: Nichelle - Always a trailblazer. https://t.co/VnfPaPUJKh
