lang,geo,edit_history_tweet_ids,text,author_id,id,created_at
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.949803, 40.817937]}, 'place_id': '01a9a39529b27f36'}",['1597003135998111744'],Updated: Construction on #W135THST WB from ST NICHOLAS TER to CONVENT AVE https://t.co/kfbti5hYak,52272942,1597003135998111744,2022-11-27T23:03:13.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.959442, 40.770984]}, 'place_id': '01a9a39529b27f36'}",['1597003134819192832'],Updated: Closure on #E74THST EB from 3RD AVE to 2ND AVE https://t.co/QriXSTNVbx,52272942,1597003134819192832,2022-11-27T23:03:12.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992311, 40.634173]}, 'place_id': '011add077f4d2da3'}",['1597002041678856192'],Incident on #B11Bus EB at 50 St/13 Av https://t.co/ivvf0m0avw,52272942,1597002041678856192,2022-11-27T22:58:52.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.99219, 40.75002]}, 'place_id': '01a9a39529b27f36'}",['1597002040894492673'],Special Event on #MadisonSquareGarden https://t.co/OSwsNOJppw,52272942,1597002040894492673,2022-11-27T22:58:52.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.977056, 40.752998]}, 'place_id': '01a9a39529b27f36'}",['1597002037518024707'],Cleared: Incident on #Harlem from Grand Central to Wassaic,52272942,1597002037518024707,2022-11-27T22:58:51.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.011056, 40.706476]}, 'place_id': '01a9a39529b27f36'}",['1597001318316457985'],Incident on #JLine Both directions from Broad St to Bowery https://t.co/IeGu8EUw0D,52272942,1597001318316457985,2022-11-27T22:55:59.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.887815, 40.822195]}, 'place_id': '002e24c6736f069d'}",['1596999577000779776'],Incident on #I278 WB at Hunts Point Avenue; Exit 49 - I-895-Sheridan Expressway https://t.co/NYoc95jtzE,52272942,1596999577000779776,2022-11-27T22:49:04.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.990151, 40.692404]}, 'place_id': '011add077f4d2da3'}",['1596995513307389954'],Cleared: Incident on #4Line SB at Borough Hall,52272942,1596995513307389954,2022-11-27T22:32:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.862633, 40.883895]}, 'place_id': '002e24c6736f069d'}",['1596990755226124288'],Incident on #5Line at 219 St https://t.co/pc4j6zDvIW,52272942,1596990755226124288,2022-11-27T22:14:01.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.862633, 40.883895]}, 'place_id': '002e24c6736f069d'}",['1596990754286702592'],Incident on #2Line SB at 219 St https://t.co/pc4j6zDvIW,52272942,1596990754286702592,2022-11-27T22:14:01.000Z
