edit_history_tweet_ids,lang,created_at,author_id,id,text
['1596960184639041537'],en,2022-11-27T20:12:32.000Z,55222766,1596960184639041537,"@orckestra please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596959792945209344'],en,2022-11-27T20:10:59.000Z,55222766,1596959792945209344,"@WeAreImprovon please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596959666831241218'],en,2022-11-27T20:10:29.000Z,55222766,1596959666831241218,"@GetSTORD please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596953120856162304'],en,2022-11-27T19:44:28.000Z,55222766,1596953120856162304,"@BurrisLogistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596949262419386368'],en,2022-11-27T19:29:08.000Z,55222766,1596949262419386368,"@VersaColdLS please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596948884852723714'],en,2022-11-27T19:27:38.000Z,55222766,1596948884852723714,"@TippmannGroup please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596947937732751360'],en,2022-11-27T19:23:52.000Z,55222766,1596947937732751360,"@americold please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596947556986408961'],en,2022-11-27T19:22:22.000Z,55222766,1596947556986408961,"@OneLineage please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596945692236578816'],en,2022-11-27T19:14:57.000Z,55222766,1596945692236578816,"@EWizardsPodcast  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596944196363251712'],en,2022-11-27T19:09:00.000Z,55222766,1596944196363251712,"@ArvestBank  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596943782431584256'],en,2022-11-27T19:07:22.000Z,55222766,1596943782431584256,"@Republik_RETAIL  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596943544861671424'],en,2022-11-27T19:06:25.000Z,55222766,1596943544861671424,"@liquidityinc  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596942700422385664'],en,2022-11-27T19:03:04.000Z,55222766,1596942700422385664,"@99minutos  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
