id,author_id,created_at,text,edit_history_tweet_ids,lang,geo
1596275838189678595,720365641216098307,2022-11-25T22:53:11.000Z,"Freedom of speech never been absolutism, because of personal security. Mass shooting mostly causes by false information, rhetoric n bias. We teach our children to be respectful but today adult r sometimes the problem n children end up paying the consequences.",['1596275838189678595'],en,{'place_id': '0de4c71dbfcd2c32'}
1596271713485869056,720365641216098307,2022-11-25T22:36:48.000Z,@ReverendWarnock Always bet on the people of Georgia n they'll return u the favor. Tell them what you going to do for the people.,['1596271713485869056'],en,
1596271046998790144,720365641216098307,2022-11-25T22:34:09.000Z,@katiehobbs Your on top because you put your hard work. Unlike Kari Lake the bottom pit looser crying every day.,['1596271046998790144'],en,
1596270501185220609,720365641216098307,2022-11-25T22:31:59.000Z,"@RonFilipkowski Everytime Donald Trump do something illegal he claim as the victim. It's unfair for billionaire to screw American. Yeah whatever Eric, ru on drugs?",['1596270501185220609'],en,
1596224857993158656,720365641216098307,2022-11-25T19:30:37.000Z,@ReverendWarnock That is Thanksgiving 👍🦃❤️,['1596224857993158656'],en,
1596224161671958528,720365641216098307,2022-11-25T19:27:51.000Z,@RonFilipkowski The number of people protesting Arizona capitol is not stupid to listen to these losers. The guy with Confederate flag should be arrested. Confederates killed thousands of US soldiers. He saying kill more US soldiers.,['1596224161671958528'],en,
1596222381613162496,720365641216098307,2022-11-25T19:20:46.000Z,"@TheGoodLiars More Americans bought firearms since president Obama n mass shooting get worst. You have your shot. One too many psychopath gun owners never gone thru background check, including mental problem. Good guys with guns was a lie. We witness that in Uvalde school shooting.",['1596222381613162496'],en,
1596220848162996225,720365641216098307,2022-11-25T19:14:41.000Z,@Buckeyes202020 @shillman1 @RonFilipkowski 🤣🤣More people at the weed store.,['1596220848162996225'],en,
1596220593635962881,720365641216098307,2022-11-25T19:13:40.000Z,@RonFilipkowski I have to hear more detail about that. See Kari Lake in 4 years. Bye,['1596220593635962881'],en,
1596220216207237120,720365641216098307,2022-11-25T19:12:10.000Z,@RonFilipkowski Over 7 million Arizonans voted. The protestors only showed ten people. That's not all Arizonans. I did not voted for Kari Lake because she's a loser.,['1596220216207237120'],en,
1596219099553886209,720365641216098307,2022-11-25T19:07:44.000Z,@jeremyduda That is bs n you know this is true. Kari Lake lost save her the dignity of losing the election. There is more important to focus energy like Thanksgiving n Christmas.,['1596219099553886209'],en,
1596218064395083776,720365641216098307,2022-11-25T19:03:37.000Z,@Native3rd That is Thanksgiving.👍👍🦃,['1596218064395083776'],en,
1596217424067821568,720365641216098307,2022-11-25T19:01:04.000Z,@PaineInTheAsss @LakotaMan1 We have no right to intervene to any of this peoples lives. What is that say about dark ages in Europe up until WWII? The bloodiest era in white man society. Does not give any of us gave the right to take land from the natives. We have nerve to complain about immigrants.,['1596217424067821568'],en,
1596215997538922496,720365641216098307,2022-11-25T18:55:24.000Z,"@LakotaMan1 Now, that is Thanksgiving 👍👍🦃",['1596215997538922496'],en,
1596215099043491841,720365641216098307,2022-11-25T18:51:50.000Z,@collegefund Give them equal school n business opportunity. Also the land they deserve many years ago instead charity. They don't deserve to be treated disable society not stupid.,['1596215099043491841'],en,
1596213033210040321,720365641216098307,2022-11-25T18:43:37.000Z,@ProjectLincoln Ex-president n loser Trump. Traitor.,['1596213033210040321'],en,
1596211937670414336,720365641216098307,2022-11-25T18:39:16.000Z,It was sad we treated the natives like animals n every year we humiliated their ancestors. We need to look at what really Thanksgiving mean with our family or we can keep lying to ourself. Our children will ultimately pay the price. https://t.co/m7QUjqSlci,['1596211937670414336'],en,{'place_id': '0de4c71dbfcd2c32'}
1596210487850434560,720365641216098307,2022-11-25T18:33:31.000Z,@RonFilipkowski U can choke eating n we celebrated.,['1596210487850434560'],en,
1595897016780918784,720365641216098307,2022-11-24T21:47:53.000Z,"Nothing to be shame how twisted US history. Enjoy the food, It's an insult to American natives. Thanksgiving is a day of mourning and protest since it commemorates the arrival of settlers in North America and the centuries of oppression and genocide that followed. https://t.co/IijCwvO5FK",['1595897016780918784'],en,{'place_id': 'a612c69b44b2e5da'}
1595893930565939200,720365641216098307,2022-11-24T21:35:37.000Z,"@RonFilipkowski You mean Liberty? Please don't change history what Sir Patrick Henry said in 1775. People are not stupid. We're all immigrants in this land., including u n your parent. I can tell u don't read books.",['1595893930565939200'],en,
1595892342162014208,720365641216098307,2022-11-24T21:29:19.000Z,Walker said Texas is his primary residence. Then why running for Senate in Georgia. He is crook n full of 💩💩💩 he should run in Texas. https://t.co/IOll7NpokM,['1595892342162014208'],en,{'place_id': 'a612c69b44b2e5da'}
1595841213349105664,720365641216098307,2022-11-24T18:06:09.000Z,@Vinny52387 @JoJoFromJerz @davramdavram Do I owned AR15 he'll yes not because of 2nd. Because it's fundamental right of any citizen across the globe. I been in military but I don't flash those firearms in public like toys. Because in America the police get suspicious because I'm colored n police was designed by white.,['1595841213349105664'],en,
1595839104662777856,720365641216098307,2022-11-24T17:57:46.000Z,@Vinny52387 @JoJoFromJerz @davramdavram They only show white people carry AR15 because it was never design for you. You walk on the street n police instantly arrest u. Why? Color of your skin not right to bare arms.,['1595839104662777856'],en,
1595838449898201088,720365641216098307,2022-11-24T17:55:10.000Z,"@Vinny52387 @JoJoFromJerz @davramdavram 2nd is for all American right to bare arms. That's including Liberals. Yeah thats right, Liberals. That should scared the Conservatives gun owners. It was design to eradicate the natives n control the slaves. Think about the true reason behind your gun rights was back in 1776.",['1595838449898201088'],en,
1595837141451276288,720365641216098307,2022-11-24T17:49:58.000Z,@JoJoFromJerz @davramdavram Children should be reading books. Conservative Parenting r screwed.,['1595837141451276288'],en,
1595836749632409601,720365641216098307,2022-11-24T17:48:24.000Z,@davramdavram They carry firearms because it's cool n it kill the natives while stealing their land. They smiled n enjoyed children n teachers being mass murder in school. Sick,['1595836749632409601'],en,
