text,edit_history_tweet_ids,author_id,created_at,id,lang,geo
"@AestheticPuppet Central Fl is full of awesome people. Itviscsondang annoying watching people just bash a state as a whole.  Every state has their Dumbsantis type and right wing nut jobs, but the better humans shine brighter!",['1595619629535207426'],2196775588,2022-11-24T03:25:39.000Z,1595619629535207426,en,
@AestheticPuppet Florida is a lot of Ohio exports.. if you are crazy so are we 🤣🤣 and crazy occurs everywhere.  People need to worry less about a single state and instead pay more attention the plague of hate and gun violence all around.   I agree let Fl be!,['1595617563748319233'],2196775588,2022-11-24T03:17:26.000Z,1595617563748319233,en,
@GrandCalStan Block them evil people who said no!  You don’t need that negativity in your life 🤣🤣,['1595601490600681473'],2196775588,2022-11-24T02:13:34.000Z,1595601490600681473,en,{'place_id': 'c97807ac2cd60207'}
@TheLeisureProf Going with the bacon.. greased and ready to slide into the fight,['1595567289629302785'],2196775588,2022-11-23T23:57:40.000Z,1595567289629302785,en,{'place_id': '3df0e3eb1e91170b'}
@sincerelyivy Hey kid … don’t look behind you.. that giraffe is stalking you!! 🤣🤣🤣🤣,['1595542964386033664'],2196775588,2022-11-23T22:21:01.000Z,1595542964386033664,en,{'place_id': 'c97807ac2cd60207'}
@GrandCalStan That drink looks intriguingly good,['1595542255695265792'],2196775588,2022-11-23T22:18:12.000Z,1595542255695265792,en,
"@mirandaiiisms I feel like it’s only around so park managers to know what to expect for a day..  and it still failed, never felt controlled to me even in mid January.",['1595542084043575296'],2196775588,2022-11-23T22:17:31.000Z,1595542084043575296,en,
"@AestheticPuppet I got the Rueben ones as well last trip, both were declicious",['1595541403761004545'],2196775588,2022-11-23T22:14:49.000Z,1595541403761004545,en,{'place_id': 'c97807ac2cd60207'}
Our Roomba randomly does his docking chime.. Daughter(11): well that was random… me: yep but as a vacuum his Job really sucks..  her:  *confusion for 1 minutes* … me: think about what He is.. her:Ooohhhh hahaha .. me: yep he has lots of dirt about his job .. her:haha daddy,['1595504517591994368'],2196775588,2022-11-23T19:48:14.000Z,1595504517591994368,en,{'place_id': 'c97807ac2cd60207'}
"My 6yo: daddy I like my tie dye shirt.. me: I am glad, you did a good job on it. ..Him: ohh look daddy I painted the inside too!!!   He has no idea the tie dye was designed to do that.. too friggin cute #parentlife",['1595503771005685771'],2196775588,2022-11-23T19:45:16.000Z,1595503771005685771,en,{'place_id': 'c97807ac2cd60207'}
@CoreyWDW I just have no words.. Rizxo better dang well be there for as much as they charge for these events,['1595502414391611400'],2196775588,2022-11-23T19:39:53.000Z,1595502414391611400,en,{'place_id': 'c97807ac2cd60207'}
"I will always have an example of loving people no matter what for my kids to learn from.I have a “Brother” who everyone calls us Twins.(not because we are actual twins or look a like,I am white he black) but because we are very similar in our personalities.kinship with no borders",['1595501117835776019'],2196775588,2022-11-23T19:34:44.000Z,1595501117835776019,en,{'place_id': 'c97807ac2cd60207'}
@AestheticPuppet You reservation is just a way to reserve your tiny spot of taped off sidewalk space in a obscured view spot of the Spring Roll cart (1/286.3),['1595498075002441741'],2196775588,2022-11-23T19:22:38.000Z,1595498075002441741,en,
@itzybitzyminnie I imagine Mickey standing there screaming “If you two dont’ stop I will turn this monorail around take you home!”,['1595497080348446720'],2196775588,2022-11-23T19:18:41.000Z,1595497080348446720,en,{'place_id': 'c97807ac2cd60207'}
@itzybitzyminnie Happy day of the force for you ❤️,['1595496719193673742'],2196775588,2022-11-23T19:17:15.000Z,1595496719193673742,en,
@DCAoutloud Does it truly exist if there is no on ride photo?#nophotonopoof,['1595496062147563521'],2196775588,2022-11-23T19:14:38.000Z,1595496062147563521,en,{'place_id': 'c97807ac2cd60207'}
Yep still can do this completely useless talent.. #spoononnose #forkonspoononnose https://t.co/Z4ipVe80FL,['1595495692763598856'],2196775588,2022-11-23T19:13:10.000Z,1595495692763598856,en,{'place_id': 'c97807ac2cd60207'}
@UselessCasey @AestheticPuppet Ok it’s official now 🤣🤣 https://t.co/BP2kWVWzRa,['1595479627971043328'],2196775588,2022-11-23T18:09:20.000Z,1595479627971043328,en,{'place_id': 'c97807ac2cd60207'}
@UselessCasey @AestheticPuppet I think my LEGO collection and Agnostic ways .. qualifies me for that title as well..  so are we all now “Godless Brothers of Excess .. and epic fun”?,['1595478783070552064'],2196775588,2022-11-23T18:05:59.000Z,1595478783070552064,en,
"@GeorgeTakei .. Myself who has had the honor of meeting such an amazing human (shortly after I made James Doohan laugh with a corny Trek Joke), thank you for always being a beacon in this crazy world.  Your sense of humor and humanity are much needed.",['1595478123214213121'],2196775588,2022-11-23T18:03:21.000Z,1595478123214213121,en,{'place_id': 'c97807ac2cd60207'}
@GeorgeTakei You two ❤️❤️❤️,['1595476993964924928'],2196775588,2022-11-23T17:58:52.000Z,1595476993964924928,en,
@TheLeisureProf Ohio State may never be on this type of list as they are light years ahead of the other D1 schools in the state.. kinda sad we don’t have one of them TBH .. now the Columbus Crew SC vs Cincinnati FC is a fun growing rivalry.,['1595475581558308865'],2196775588,2022-11-23T17:53:15.000Z,1595475581558308865,en,
@AestheticPuppet I was hoping for at least a cheeseburger spring role or cheeseburger pod..  you are letting me down here 🤣🤣🤣,['1595474739253886976'],2196775588,2022-11-23T17:49:54.000Z,1595474739253886976,en,{'place_id': 'c97807ac2cd60207'}
@AestheticPuppet And how much are you placing on the line?,['1595467857760223234'],2196775588,2022-11-23T17:22:34.000Z,1595467857760223234,en,{'place_id': 'c97807ac2cd60207'}
@AestheticPuppet I would say -10/+10,['1595466097502949382'],2196775588,2022-11-23T17:15:34.000Z,1595466097502949382,en,
@mirandaiiisms He better have the hat and vest 😁,['1595461880289832960'],2196775588,2022-11-23T16:58:49.000Z,1595461880289832960,en,
@GrandCalStan Oohhh just wait… the sign change for Splash Mountain is coming … this set of sign insanity is just the appetizer for crazy Disney Purists to crawl out and show themselves..,['1595461674701553665'],2196775588,2022-11-23T16:58:00.000Z,1595461674701553665,en,
@LarsonLoopers Your meat looks amazing!,['1595460508429291520'],2196775588,2022-11-23T16:53:22.000Z,1595460508429291520,en,{'place_id': 'c97807ac2cd60207'}
"RT @DannyDeraney: Chuck Jones nine rules for how the coyote and roadrunner functioned.

So cool. https://t.co/zIeltnh1cA",['1595459008680415236'],2196775588,2022-11-23T16:47:24.000Z,1595459008680415236,en,
@AestheticPuppet Ok ok.. let’s just revive OG MySpace..  the sheer chaos of DisTwitter drama because who is in each persons top eight..  entertainment for a good while right there,['1595456054141530112'],2196775588,2022-11-23T16:35:40.000Z,1595456054141530112,en,
@TheLeisureProf @Lane_Kiffin Dangit not again…. We need to hide the keys the the rovers,['1595454536671535107'],2196775588,2022-11-23T16:29:38.000Z,1595454536671535107,en,
@itzybitzyminnie Creative and Beautiful is better for you IMO,['1595419718868942848'],2196775588,2022-11-23T14:11:17.000Z,1595419718868942848,en,
@TheLeisureProf Happy dead turkey day to you as well!,['1595419426081443852'],2196775588,2022-11-23T14:10:07.000Z,1595419426081443852,en,
"@ThemeParkBeer @UselessCasey @AestheticPuppet Not a beer man .. a good bourbon, whiskey, scotch, etc though",['1595262765882658816'],2196775588,2022-11-23T03:47:36.000Z,1595262765882658816,en,{'place_id': 'c97807ac2cd60207'}
@UselessCasey @AestheticPuppet @ThemeParkBeer You had me at ribs..,['1595256612306178048'],2196775588,2022-11-23T03:23:09.000Z,1595256612306178048,en,
@CrumblCookies I buy them and eat them..  so I am in a relationship with myself 🧐🧐,['1595253784774598656'],2196775588,2022-11-23T03:11:55.000Z,1595253784774598656,en,
@itzybitzyminnie The way they make fries fascinates me.. shooting a potato through a canon into a slicer.. just fun to watch,['1595253263011553280'],2196775588,2022-11-23T03:09:50.000Z,1595253263011553280,en,
@itzybitzyminnie And nuggets are not pink slime lol,['1595252877785808896'],2196775588,2022-11-23T03:08:19.000Z,1595252877785808896,en,
"@mirandaiiisms As long as you both enjoyed it,. That is all that matters 🙃",['1595245899336519680'],2196775588,2022-11-23T02:40:35.000Z,1595245899336519680,en,
@rankingthemouse I lost IQ at the end of the first line,['1595223371016445952'],2196775588,2022-11-23T01:11:04.000Z,1595223371016445952,en,
@itzybitzyminnie Cranberries for me.. just not that into them,['1595223106909519875'],2196775588,2022-11-23T01:10:01.000Z,1595223106909519875,en,
@mirandaiiisms Ok so who ate the most of it lol,['1595222877476880388'],2196775588,2022-11-23T01:09:06.000Z,1595222877476880388,en,
@TheLeisureProf @SeaWorld I get giddy when I close in on the layout in Germany every trip to Epcot.  Have sat and just watched it go for a good chunk of time before,['1595151016982646787'],2196775588,2022-11-22T20:23:33.000Z,1595151016982646787,en,{'place_id': 'c97807ac2cd60207'}
"#DisTwitter the fresh morning feeling of cringey misleading click bait articles from the so called Disney “Media”  sites, to be awaken my mind to a giant ball of WTF!  Most are trash at best anymore.  So glad we have people like @ScottGustin and others who don’t write for clicks",['1595092302866808832'],2196775588,2022-11-22T16:30:15.000Z,1595092302866808832,en,{'place_id': 'c97807ac2cd60207'}
@TheLeisureProf https://t.co/dWLpomazYp,['1595091013504307201'],2196775588,2022-11-22T16:25:07.000Z,1595091013504307201,qme,
@Kingdakha92 I just had mine 🤣,['1595090825289125891'],2196775588,2022-11-22T16:24:22.000Z,1595090825289125891,en,{'place_id': 'c97807ac2cd60207'}
@GrandCalStan Do we need to do a Kate Saving intervention trip?,['1595072828109357056'],2196775588,2022-11-22T15:12:51.000Z,1595072828109357056,en,
