['1596962100550971397'],2022-11-27T20:20:09.000Z,1596962100550971397,1244259953336033280,en,"@waxwellmilson City council:
&gt; Builds 5 meters of totally unusable bike lane
&gt; Refuses to elaborate further
&gt; Leaves",
['1596962100186066945'],2022-11-27T20:20:09.000Z,1596962100186066945,1267461047293751303,en,RT @EmilyZFeng: Tsinghua university right now👇🏼 city after city seeing protests small and large against Zero Covid policies and against exc…,
['1596962099053428747'],2022-11-27T20:20:09.000Z,1596962099053428747,1587749004527677440,en,Debate responsibility baby cover city race sometimes chair free give population. https://t.co/Z4AOhiychy,
['1596962097510121474'],2022-11-27T20:20:08.000Z,1596962097510121474,1263454389852704768,en,Arrest warrant issued for suspect in death of Shanquella Robinson - Q City Metro https://t.co/wkz8CtPovV,
['1596962096880955392'],2022-11-27T20:20:08.000Z,1596962096880955392,20885834,en,Wednesday: Periods of rain. High 9. POP 70% https://t.co/jmCQridF3U,
['1596962095882702849'],2022-11-27T20:20:08.000Z,1596962095882702849,1445968830761783299,en,"RT @HELIX_Metaverse: Tomorrow. 

See you in the Metaverse. 

Parallel City. Be there. 

🎥🕹️ https://t.co/M8dnYXwDuk",
['1596962095718797312'],2022-11-27T20:20:08.000Z,1596962095718797312,396773698,en,"RT @songpinganq: @WallStreetSilv November 7th, 2022
Kaifeng city, Henan province

Chinese health officials welding apartment building gates…",
['1596962094746046464'],2022-11-27T20:20:08.000Z,1596962094746046464,1587017686651129857,en,Through city ago once approach cause bag rather pattern state use. https://t.co/8Atyd8X3Ws,
['1596962093475192834'],2022-11-27T20:20:07.000Z,1596962093475192834,1501279581311021057,en,"RT @AbrhaEyerus: Irob continues to be shelled by 🇪🇷|n forces despite the peace deal. 
The footage video shows what's left behind After🇪🇷|n…",
['1596962093076385793'],2022-11-27T20:20:07.000Z,1596962093076385793,1555807784519626752,en,"Kevin De Bruyne criticised by ex-Man City teammate for comments on Belgium’s World Cup chances as Red Devils accused of showing ‘no passion, fight and energy’ in shock defeat to Morocco https://t.co/RO3R3iQDLC",
['1596962092858617856'],2022-11-27T20:20:07.000Z,1596962092858617856,2985030608,en,@HeyyyBabyGoat @rebellieing And I’m the antagonist who makes you think city living is better because work is life and life is work. My name is Jackie Off,
['1596962091792883712'],2022-11-27T20:20:07.000Z,1596962091792883712,16372127,en,3pm: Mostly Cloudy 5.0C - https://t.co/pu4P1IR4l6 - Wind: NE 18km/h - Barometer: 99.5 kPa v - Vis: 24.1km - Hum: 97% #Toronto #Weather,"{'place_id': '5c43cbdfce4d3247', 'coordinates': {'type': 'Point', 'coordinates': [-79.61174011, 43.68059921]}}"
